dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.0011,0.000471
2010-04-23,0.00755,0.002485
2010-05-01,0.005631,0.000751
2010-05-09,0.006575,0.002255
2010-05-17,0.01635,0.002422
2010-05-25,0.040575,0.003315
2010-06-02,0.039794,0.003322
2010-06-10,0.049294,0.004041
2010-06-18,0.04548,0.010509
2010-06-26,0.029844,0.012269
2010-07-04,0.051456,0.017911
2010-07-12,0.019473,0.013741
2010-07-20,0.028038,0.003808
2010-07-28,0.044969,0.003324
2010-08-05,0.016621,0.005292
2010-08-13,0.033456,0.004566
2010-08-21,0.016981,0.002387
2010-08-29,0.012244,0.001714
2010-09-06,0.008312,0.0014
2010-09-14,0.005338,0.000467
2010-09-22,0.000269,4.8e-05
2010-09-30,0.000713,0.00027
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000179,4.3e-05
2011-05-01,0.00046,0.000155
2011-05-09,0.000775,0.00033
2011-05-17,0.028925,0.001671
2011-05-25,0.042012,0.004849
2011-06-02,0.030438,0.00276
2011-06-10,0.021873,0.008605
2011-06-18,0.053988,0.0036
2011-06-26,0.049156,0.005074
2011-07-04,0.039488,0.004525
2011-07-12,0.0047,0.001735
2011-07-20,0.043369,0.006309
2011-07-28,0.045244,0.00329
2011-08-05,0.014279,0.005755
2011-08-13,0.021844,0.003162
2011-08-21,0.02735,0.001499
2011-08-29,0.018112,0.001561
2011-09-06,0.012031,0.001329
2011-09-14,0.010231,0.001068
2011-09-22,0.000325,8.7e-05
2011-09-30,0.001575,0.000729
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1.4e-05,3.8e-05
2012-04-14,0.000285,0.000163
2012-04-22,0.000336,0.000115
2012-04-30,0.000227,7e-05
2012-05-08,0.001962,0.000697
2012-05-16,0.015481,0.003649
2012-05-24,0.023027,0.002718
2012-06-01,0.036262,0.003088
2012-06-09,0.046375,0.003814
2012-06-17,0.058631,0.005579
2012-06-25,0.029115,0.013999
2012-07-03,0.056588,0.007052
2012-07-11,0.037438,0.003447
2012-07-19,0.033762,0.003258
2012-07-27,0.044694,0.003724
2012-08-04,0.04285,0.003743
2012-08-12,0.027838,0.006497
2012-08-20,0.019875,0.010058
2012-08-28,0.012119,0.002106
2012-09-05,0.004423,0.00177
2012-09-13,0.006694,0.000733
2012-09-21,0.008562,0.001003
2012-09-29,0.000987,0.000119
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,1e-04,0
2013-05-09,0.000671,0.000189
2013-05-17,0.003818,0.001188
2013-05-25,0.024425,0.003072
2013-06-02,0.021338,0.004998
2013-06-10,0.036894,0.003146
2013-06-18,0.0444,0.006049
2013-06-26,0.061725,0.003902
2013-07-04,0.042156,0.003872
2013-07-12,0.045406,0.006173
2013-07-20,0.038762,0.002542
2013-07-28,0.05685,0.003605
2013-08-05,0.052512,0.003288
2013-08-13,0.017856,0.008002
2013-08-21,0.014038,0.001249
2013-08-29,0.013894,0.001465
2013-09-06,0.00985,0.001478
2013-09-14,8e-04,0
2013-09-22,0.000693,0.000279
2013-09-30,2e-04,0
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000163,5e-05
2014-04-15,0.000312,0.00012
2014-04-23,0.001325,0.000361
2014-05-01,0.0101,0.00168
2014-05-09,0.017312,0.002309
2014-05-17,0.005257,0.001995
2014-05-25,0.020956,0.002379
2014-06-02,0.036688,0.002587
2014-06-10,0.038062,0.003608
2014-06-18,0.049394,0.005689
2014-06-26,0.051662,0.006832
2014-07-04,0.0335,0.008184
2014-07-12,0.0489,0.004175
2014-07-20,0.025156,0.004167
2014-07-28,0.02855,0.005624
2014-08-05,0.016669,0.00596
2014-08-13,0.027762,0.003087
2014-08-21,0.02725,0.003653
2014-08-29,0.009806,0.001111
2014-09-06,0.009362,0.000849
2014-09-14,0.00795,0.000792
2014-09-22,0.002825,0.000471
2014-09-30,0.000489,0.000247
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.000171,4.7e-05
2015-04-15,0.000758,0.000207
2015-04-23,0.000921,0.000264
2015-05-01,0.001425,0.000478
2015-05-09,0.016794,0.002743
2015-05-17,0.044288,0.003337
2015-05-25,0.036012,0.003629
2015-06-02,0.027762,0.003997
2015-06-10,0.014915,0.011813
2015-06-18,0.058969,0.004379
2015-06-26,0.024367,0.012314
2015-07-04,0.052938,0.003028
2015-07-12,0.041775,0.003444
2015-07-20,0.034162,0.004224
2015-07-28,0.027156,0.002933
2015-08-05,0.033856,0.002384
2015-08-13,0.02555,0.002799
2015-08-21,0.016988,0.001367
2015-08-29,0.002538,0.000902
2015-09-06,0.011212,0.001403
2015-09-14,0.00065,0.000129
2015-09-22,0.000306,5.7e-05
2015-09-30,0.000344,8.1e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000229,9.9e-05
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001331,0.000441
2016-04-30,0.003669,0.00096
2016-05-08,0.024094,0.00251
2016-05-16,0.014938,0.000694
