dates,open_shrublands_mean,open_shrublands_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,0,NA
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,7e-04,NA
2010-04-23,0.00575,9e-04
2010-05-01,0.0058,0.00147
2010-05-09,0.0076,0.00318
2010-05-17,0.017875,0.001861
2010-05-25,0.035425,0.00164
2010-06-02,0.03325,0.002807
2010-06-10,0.04145,0.00276
2010-06-18,0.03565,0.006257
2010-06-26,0.034275,0.004284
2010-07-04,0.0449,0.003118
2010-07-12,0.028,0.009594
2010-07-20,0.0296,0.005613
2010-07-28,0.041375,0.00238
2010-08-05,0.016725,0.007817
2010-08-13,0.029575,0.002481
2010-08-21,0.011325,0.003637
2010-08-29,0.011975,0.001266
2010-09-06,0.009925,0.001258
2010-09-14,0.0053,0.000766
2010-09-22,2e-04,0
2010-09-30,3e-04,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,NA
2011-03-22,0,NA
2011-03-30,0,0
2011-04-07,0,NA
2011-04-15,NA,NA
2011-04-23,0.00015,7.1e-05
2011-05-01,3e-04,0
2011-05-09,0.00095,0.00052
2011-05-17,0.030275,0.00167
2011-05-25,0.044125,0.001226
2011-06-02,0.02655,0.001916
2011-06-10,0.012333,0.007695
2011-06-18,0.04615,0.008491
2011-06-26,0.04025,0.004912
2011-07-04,0.018625,0.005296
2011-07-12,0.0058,NA
2011-07-20,0.041075,0.00356
2011-07-28,0.044375,0.003551
2011-08-05,0.010675,0.009459
2011-08-13,0.016525,0.001284
2011-08-21,0.02345,0.003519
2011-08-29,0.0157,0.002434
2011-09-06,0.012425,0.00136
2011-09-14,0.011375,0.001533
2011-09-22,3e-04,0
2011-09-30,0.00085,0.000252
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,NA
2012-03-13,0,NA
2012-03-21,0,NA
2012-03-29,0,NA
2012-04-06,0,NA
2012-04-14,2e-04,NA
2012-04-22,3e-04,0
2012-04-30,1e-04,0
2012-05-08,0.002,0.000698
2012-05-16,0.0175,6e-04
2012-05-24,0.01995,0.004861
2012-06-01,0.032375,0.000602
2012-06-09,0.03695,0.004801
2012-06-17,0.04455,0.002967
2012-06-25,0.010133,0.005086
2012-07-03,0.01035,0.008026
2012-07-11,0.00365,0.000495
2012-07-19,0.0081,0.001386
2012-07-27,0.0071,0.004272
2012-08-04,0.00875,0.002252
2012-08-12,0.006025,0.00205
2012-08-20,0.0037,0
2012-08-28,0.002,0.000115
2012-09-05,0.0014,0
2012-09-13,0.0011,0
2012-09-21,0.00145,1e-04
2012-09-29,3e-04,0
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,0.0018,NA
2013-05-25,0.004875,0.002085
2013-06-02,0.0039,0.001732
2013-06-10,0.00875,0.001921
2013-06-18,0.018575,0.010447
2013-06-26,0.01665,0.006994
2013-07-04,0.005825,0.003463
2013-07-12,0.01035,0.004446
2013-07-20,0.01015,0.0021
2013-07-28,0.016575,0.006641
2013-08-05,0.0157,0.003734
2013-08-13,0.00525,0.002892
2013-08-21,0.0028,0.002078
2013-08-29,0.00395,0.002367
2013-09-06,0.0025,4e-04
2013-09-14,8e-04,0
2013-09-22,4e-04,NA
2013-09-30,2e-04,0
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.0021,0
2014-05-09,0.003375,0.00135
2014-05-17,0.00225,0.000212
2014-05-25,0.0082,0.002195
2014-06-02,0.0087,0.005021
2014-06-10,0.010025,0.005439
2014-06-18,0.0193,0.009929
2014-06-26,0.018225,0.003917
2014-07-04,0.02285,0.00391
2014-07-12,0.0235,0.007442
2014-07-20,0.013475,0.004568
2014-07-28,0.019475,0.005147
2014-08-05,0.0056,0.001534
2014-08-13,0.015125,0.004129
2014-08-21,0.01095,0.003544
2014-08-29,0.0045,0.001273
2014-09-06,0.0038,0.002126
2014-09-14,0.00275,0.001303
2014-09-22,0.000675,5e-05
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.0043,0.001697
2015-05-17,0.017225,0.005283
2015-05-25,0.011675,0.004273
2015-06-02,0.0124,0.002117
2015-06-10,0.00395,0.001626
2015-06-18,0.0251,0.001925
2015-06-26,0.0034,0
2015-07-04,0.02645,0.006019
2015-07-12,0.018175,0.001945
2015-07-20,0.02635,0.00148
2015-07-28,0.016575,0.005862
2015-08-05,0.02055,0.004617
2015-08-13,0.01465,0.003161
2015-08-21,0.0105,0.002005
2015-08-29,0.0018,0.000141
2015-09-06,0.006225,0.001081
2015-09-14,6e-04,0
2015-09-22,NA,NA
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,NA,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.001825,0.00045
2016-05-08,0.011575,0.004451
2016-05-16,0.006725,0.002388
2016-05-24,0.00865,0.001797
2016-06-01,0.0116,0.002627
2016-06-09,0.024725,0.007898
2016-06-17,0.035075,0.005526
2016-06-25,0.02835,0.005461
