dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,-1e-04,2e-04
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,0.000729,0.000121
2010-04-23,0.005728,0.001824
2010-05-01,0.00582,0.000663
2010-05-09,0.00612,0.002628
2010-05-17,0.016668,0.002241
2010-05-25,0.0391,0.004224
2010-06-02,0.039364,0.00322
2010-06-10,0.04806,0.003525
2010-06-18,0.029972,0.013017
2010-06-26,0.033357,0.012544
2010-07-04,0.049524,0.016454
2010-07-12,0.031695,0.012342
2010-07-20,0.028879,0.004803
2010-07-28,0.043708,0.002898
2010-08-05,0.014091,0.007088
2010-08-13,0.0311,0.003018
2010-08-21,0.015876,0.001872
2010-08-29,0.011736,0.001767
2010-09-06,0.008248,0.001083
2010-09-14,0.005276,0.000378
2010-09-22,0.000244,6.5e-05
2010-09-30,0.000727,0.000251
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,NA
2011-04-15,0,0
2011-04-23,0.000206,2.4e-05
2011-05-01,0.000338,0.000112
2011-05-09,0.000862,0.000321
2011-05-17,0.029568,0.002191
2011-05-25,0.041044,0.00514
2011-06-02,0.028752,0.002017
2011-06-10,0.022717,0.009181
2011-06-18,0.050944,0.00892
2011-06-26,0.046228,0.004848
2011-07-04,0.038644,0.007288
2011-07-12,0.004522,0.001713
2011-07-20,0.043544,0.00519
2011-07-28,0.044976,0.003555
2011-08-05,0.017408,0.006401
2011-08-13,0.021244,0.002361
2011-08-21,0.026496,0.001346
2011-08-29,0.016764,0.001837
2011-09-06,0.011924,0.001141
2011-09-14,0.009724,0.000984
2011-09-22,3e-04,0
2011-09-30,0.001176,0.000662
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,NA
2012-04-14,0.000244,0.000133
2012-04-22,0.000317,5.8e-05
2012-04-30,0.000164,8.4e-05
2012-05-08,0.001845,0.000649
2012-05-16,0.016752,0.001969
2012-05-24,0.023768,0.005692
2012-06-01,0.033156,0.004901
2012-06-09,0.044488,0.002692
2012-06-17,0.055896,0.00466
2012-06-25,0.040277,0.012199
2012-07-03,0.051724,0.003849
2012-07-11,0.036496,0.00402
2012-07-19,0.033368,0.002195
2012-07-27,0.040632,0.002854
2012-08-04,0.041704,0.002142
2012-08-12,0.025656,0.005668
2012-08-20,0.017856,0.005707
2012-08-28,0.01106,0.002389
2012-09-05,0.003035,0.000944
2012-09-13,0.006376,0.000563
2012-09-21,0.008392,0.000975
2012-09-29,0.001024,0.000148
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,0
2013-05-01,0,NA
2013-05-09,6e-04,0
2013-05-17,0.003535,0.001419
2013-05-25,0.026188,0.006172
2013-06-02,0.020436,0.002894
2013-06-10,0.035904,0.002639
2013-06-18,0.046564,0.005906
2013-06-26,0.05944,0.002563
2013-07-04,0.039656,0.005906
2013-07-12,0.047588,0.005554
2013-07-20,0.037256,0.003677
2013-07-28,0.05416,0.003675
2013-08-05,0.051216,0.003734
2013-08-13,0.02472,0.0082
2013-08-21,0.013364,0.001008
2013-08-29,0.01334,0.001201
2013-09-06,0.010236,0.001231
2013-09-14,0.00125,0.001099
2013-09-22,0.000446,0.000161
2013-09-30,2e-04,0
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000115,3.8e-05
2014-04-15,0.000214,6.5e-05
2014-04-23,0.000938,0.000287
2014-05-01,0.009992,0.002261
2014-05-09,0.018664,0.001757
2014-05-17,0.006473,0.001766
2014-05-25,0.020036,0.003075
2014-06-02,0.036052,0.003748
2014-06-10,0.038172,0.004318
2014-06-18,0.050744,0.007162
2014-06-26,0.046912,0.006952
2014-07-04,0.038737,0.007212
2014-07-12,0.044192,0.005191
2014-07-20,0.027008,0.004839
2014-07-28,0.025552,0.008444
2014-08-05,0.012579,0.006493
2014-08-13,0.026436,0.002003
2014-08-21,0.029136,0.003157
2014-08-29,0.009292,0.000959
2014-09-06,0.009256,0.000526
2014-09-14,0.008012,0.000722
2014-09-22,0.0028,0.000524
2014-09-30,5e-04,7.9e-05
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.00016,5.5e-05
2015-04-15,6e-04,0
2015-04-23,0.000762,0.000253
2015-05-01,0.001317,0.000428
2015-05-09,0.016928,0.002886
2015-05-17,0.043956,0.003734
2015-05-25,0.034836,0.003463
2015-06-02,0.025336,0.004038
2015-06-10,0.015062,0.00761
2015-06-18,0.055072,0.004908
2015-06-26,0.037379,0.011919
2015-07-04,0.052488,0.004585
2015-07-12,0.037268,0.008176
2015-07-20,0.033904,0.005277
2015-07-28,0.027272,0.003005
2015-08-05,0.033216,0.001339
2015-08-13,0.024472,0.003937
2015-08-21,0.01634,0.000887
2015-08-29,0.003064,0.00087
2015-09-06,0.011328,0.001255
2015-09-14,0.000629,9e-05
2015-09-22,0.000276,5.2e-05
2015-09-30,0.000322,8.5e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00014,8.3e-05
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001012,0.000222
2016-04-30,0.003204,0.000781
2016-05-08,0.027528,0.004122
2016-05-16,0.014932,0.002636
