dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,-1.9e-05,8.7e-05
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,7e-04,0
2010-04-23,0.004454,0.001634
2010-05-01,0.005249,0.000997
2010-05-09,0.006446,0.002228
2010-05-17,0.016112,0.002263
2010-05-25,0.035189,0.002543
2010-06-02,0.03474,0.00298
2010-06-10,0.04237,0.004045
2010-06-18,0.038516,0.00832
2010-06-26,0.035422,0.009977
2010-07-04,0.046788,0.011386
2010-07-12,0.023625,0.01321
2010-07-20,0.02879,0.007463
2010-07-28,0.037176,0.005031
2010-08-05,0.019297,0.005148
2010-08-13,0.027924,0.003314
2010-08-21,0.010237,0.004664
2010-08-29,0.011205,0.001575
2010-09-06,0.009279,0.002019
2010-09-14,0.005418,0.000803
2010-09-22,0.000228,0.000118
2010-09-30,0.000411,0.000233
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.00017,5.1e-05
2011-05-01,0.000304,3.6e-05
2011-05-09,0.000653,0.000249
2011-05-17,0.028667,0.002838
2011-05-25,0.042731,0.003564
2011-06-02,0.02711,0.002843
2011-06-10,0.018793,0.0077
2011-06-18,0.041326,0.009048
2011-06-26,0.04074,0.0051
2011-07-04,0.034716,0.014078
2011-07-12,0.005957,0.001623
2011-07-20,0.035985,0.009592
2011-07-28,0.043968,0.004127
2011-08-05,0.016422,0.007084
2011-08-13,0.016398,0.002825
2011-08-21,0.022468,0.004004
2011-08-29,0.015345,0.002114
2011-09-06,0.01151,0.001248
2011-09-14,0.009328,0.001208
2011-09-22,0.000307,7.3e-05
2011-09-30,0.001146,0.000514
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,0.000242,0.000114
2012-04-22,0.000319,8.7e-05
2012-04-30,0.000113,4.7e-05
2012-05-08,0.001681,0.000536
2012-05-16,0.016558,0.002363
2012-05-24,0.022944,0.003622
2012-06-01,0.029245,0.005178
2012-06-09,0.037566,0.007917
2012-06-17,0.047617,0.005419
2012-06-25,0.023494,0.013663
2012-07-03,0.035871,0.016215
2012-07-11,0.019949,0.012271
2012-07-19,0.022214,0.010792
2012-07-27,0.028894,0.013094
2012-08-04,0.029513,0.012048
2012-08-12,0.018647,0.009256
2012-08-20,0.017747,0.008886
2012-08-28,0.006963,0.003733
2012-09-05,0.002448,0.001466
2012-09-13,0.004362,0.001999
2012-09-21,0.005648,0.002843
2012-09-29,0.000631,0.000404
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,0,0
2013-05-09,6e-04,0
2013-05-17,0.002145,0.00084
2013-05-25,0.019861,0.009982
2013-06-02,0.01546,0.008077
2013-06-10,0.023636,0.011824
2013-06-18,0.03688,0.016224
2013-06-26,0.045316,0.017041
2013-07-04,0.030039,0.012456
2013-07-12,0.036458,0.014062
2013-07-20,0.031592,0.012825
2013-07-28,0.043566,0.014192
2013-08-05,0.038206,0.012265
2013-08-13,0.013054,0.009138
2013-08-21,0.010717,0.0038
2013-08-29,0.010387,0.003693
2013-09-06,0.007505,0.003166
2013-09-14,0.001509,0.001099
2013-09-22,0.000429,0.000169
2013-09-30,0.000565,0.000469
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000108,2.8e-05
2014-04-15,0.000207,3.7e-05
2014-04-23,0.000884,0.000191
2014-05-01,0.00815,0.004589
2014-05-09,0.013038,0.005921
2014-05-17,0.004711,0.002495
2014-05-25,0.017112,0.008708
2014-06-02,0.025856,0.009809
2014-06-10,0.025722,0.009748
2014-06-18,0.040674,0.012119
2014-06-26,0.033073,0.011589
2014-07-04,0.03668,0.010896
2014-07-12,0.037842,0.010589
2014-07-20,0.020223,0.007014
2014-07-28,0.02058,0.007779
2014-08-05,0.0097,0.00555
2014-08-13,0.023266,0.006511
2014-08-21,0.020837,0.006039
2014-08-29,0.00769,0.002058
2014-09-06,0.007009,0.002246
2014-09-14,0.00589,0.002326
2014-09-22,0.001908,0.00082
2014-09-30,0.000397,0.000115
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,NA,NA
2015-04-15,0.000593,1e-04
2015-04-23,0.00075,0.000495
2015-05-01,0.001112,0.000312
2015-05-09,0.012094,0.004954
2015-05-17,0.033517,0.011143
2015-05-25,0.027228,0.008797
2015-06-02,0.018978,0.006005
2015-06-10,0.014253,0.007062
2015-06-18,0.044194,0.010037
2015-06-26,0.032356,0.010742
2015-07-04,0.042947,0.009048
2015-07-12,0.025998,0.011954
2015-07-20,0.027219,0.009593
2015-07-28,0.0203,0.006447
2015-08-05,0.028186,0.004622
2015-08-13,0.019878,0.004818
2015-08-21,0.012501,0.002849
2015-08-29,0.003502,0.00184
2015-09-06,0.0089,0.002254
2015-09-14,0.000748,0.000273
2015-09-22,0.000171,6.5e-05
2015-09-30,0.000218,0.000116
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000106,3.4e-05
2016-03-29,0,0
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.00106,0.000164
2016-04-30,0.004024,0.002334
2016-05-08,0.020094,0.006167
2016-05-16,0.012669,0.003801
2016-05-24,0.015344,0.005143
