date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,33,19.53
A2010073,2010-03-14,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,45,26.63
A2010081,2010-03-22,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,61,36.09
A2010089,2010-03-30,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,78,46.15
A2010097,2010-04-07,MYD17A2H,Gpp_500m,0.0001,0.0003,0.0026,0.0002,0.0001,0.0000,0.0000,169,24,14.20
A2010105,2010-04-15,MYD17A2H,Gpp_500m,0.0007,0.0017,0.0717,0.0010,0.0009,0.0000,0.0002,169,77,45.56
A2010113,2010-04-23,MYD17A2H,Gpp_500m,0.0019,0.0130,0.9074,0.0111,0.0054,0.0000,0.0022,169,169,100.00
A2010121,2010-05-01,MYD17A2H,Gpp_500m,0.0026,0.0088,1.0246,0.0062,0.0061,0.0000,0.0011,169,169,100.00
A2010129,2010-05-09,MYD17A2H,Gpp_500m,0.0023,0.0119,1.2127,0.0096,0.0072,0.0000,0.0026,169,169,100.00
A2010137,2010-05-17,MYD17A2H,Gpp_500m,0.0071,0.0228,2.9883,0.0157,0.0177,0.0000,0.0025,169,169,100.00
A2010145,2010-05-25,MYD17A2H,Gpp_500m,0.0302,0.0558,6.7671,0.0256,0.0400,0.0000,0.0040,169,169,100.00
A2010153,2010-06-02,MYD17A2H,Gpp_500m,0.0314,0.0521,6.5813,0.0207,0.0389,0.0000,0.0041,169,169,100.00
A2010161,2010-06-10,MYD17A2H,Gpp_500m,0.0341,0.0634,8.1110,0.0293,0.0480,0.0000,0.0054,169,169,100.00
