MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010009,2010-01-09,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010017,2010-01-17,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010025,2010-01-25,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010033,2010-02-02,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010041,2010-02-10,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010049,2010-02-18,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010057,2010-02-26,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010065,2010-03-06,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,21,16.94
A2010073,2010-03-14,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,28,22.58
A2010081,2010-03-22,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,45,36.29
A2010089,2010-03-30,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,55,44.35
A2010097,2010-04-07,MYD17A2H,Gpp_500m,0.0001,0.0003,0.0018,0.0002,0.0001,0.0000,0.0000,124,16,12.90
A2010105,2010-04-15,MYD17A2H,Gpp_500m,0.0007,0.0009,0.0368,0.0002,0.0008,0.0000,0.0001,124,44,35.48
A2010113,2010-04-23,MYD17A2H,Gpp_500m,0.0019,0.0130,0.5965,0.0111,0.0048,0.0000,0.0018,124,124,100.00
A2010121,2010-05-01,MYD17A2H,Gpp_500m,0.0026,0.0082,0.7320,0.0056,0.0059,0.0000,0.0011,124,124,100.00
A2010129,2010-05-09,MYD17A2H,Gpp_500m,0.0023,0.0119,0.8897,0.0096,0.0072,0.0000,0.0025,124,124,100.00
A2010137,2010-05-17,MYD17A2H,Gpp_500m,0.0071,0.0228,2.1728,0.0157,0.0175,0.0000,0.0025,124,124,100.00
A2010145,2010-05-25,MYD17A2H,Gpp_500m,0.0302,0.0458,4.8069,0.0156,0.0388,0.0000,0.0027,124,124,100.00
A2010153,2010-06-02,MYD17A2H,Gpp_500m,0.0314,0.0505,4.6738,0.0191,0.0377,0.0000,0.0033,124,124,100.00
A2010161,2010-06-10,MYD17A2H,Gpp_500m,0.0341,0.0626,5.7389,0.0285,0.0463,0.0000,0.0045,124,124,100.00
A2010169,2010-06-18,MYD17A2H,Gpp_500m,0.0040,0.0624,5.1579,0.0584,0.0419,0.0001,0.0093,124,123,99.19
A2010177,2010-06-26,MYD17A2H,Gpp_500m,0.0082,0.0580,4.8062,0.0498,0.0394,0.0001,0.0114,124,122,98.39
A2010185,2010-07-04,MYD17A2H,Gpp_500m,0.0113,0.0765,6.0227,0.0652,0.0524,0.0002,0.0130,124,115,92.74
A2010193,2010-07-12,MYD17A2H,Gpp_500m,0.0045,0.0590,2.5022,0.0545,0.0261,0.0002,0.0149,124,96,77.42
A2010201,2010-07-20,MYD17A2H,Gpp_500m,0.0071,0.0563,4.0080,0.0492,0.0329,0.0001,0.0089,124,122,98.39
A2010209,2010-07-28,MYD17A2H,Gpp_500m,0.0312,0.0575,5.2538,0.0263,0.0424,0.0000,0.0060,124,124,100.00
A2010217,2010-08-05,MYD17A2H,Gpp_500m,0.0052,0.0356,2.6676,0.0304,0.0220,0.0000,0.0060,124,121,97.58
A2010225,2010-08-13,MYD17A2H,Gpp_500m,0.0237,0.0441,3.9277,0.0204,0.0317,0.0000,0.0036,124,124,100.00
A2010233,2010-08-21,MYD17A2H,Gpp_500m,0.0023,0.0210,1.2588,0.0187,0.0111,0.0000,0.0052,124,113,91.13
A2010241,2010-08-29,MYD17A2H,Gpp_500m,0.0065,0.0166,1.5517,0.0101,0.0125,0.0000,0.0018,124,124,100.00
A2010249,2010-09-06,MYD17A2H,Gpp_500m,0.0043,0.0154,1.2848,0.0111,0.0104,0.0000,0.0023,124,124,100.00
A2010257,2010-09-14,MYD17A2H,Gpp_500m,0.0034,0.0087,0.7876,0.0053,0.0064,0.0000,0.0009,124,124,100.00
A2010265,2010-09-22,MYD17A2H,Gpp_500m,0.0002,0.0018,0.0352,0.0016,0.0003,0.0000,0.0002,124,111,89.52
A2010273,2010-09-30,MYD17A2H,Gpp_500m,0.0003,0.0011,0.0350,0.0008,0.0004,0.0000,0.0003,124,79,63.71
A2010281,2010-10-08,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010289,2010-10-16,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010297,2010-10-24,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010305,2010-11-01,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010313,2010-11-09,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010321,2010-11-17,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010329,2010-11-25,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010337,2010-12-03,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010345,2010-12-11,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010353,2010-12-19,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2010361,2010-12-27,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2011001,2011-01-01,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2011009,2011-01-09,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2011017,2011-01-17,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2011025,2011-01-25,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2011033,2011-02-02,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2011041,2011-02-10,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2011049,2011-02-18,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2011057,2011-02-26,MYD17A2H,Gpp_500m,,,,,,,,124,0,0.00
A2011065,2011-03-06,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,63,50.81
A2011073,2011-03-14,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,60,48.39
A2011081,2011-03-22,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,60,48.39
A2011089,2011-03-30,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,39,31.45
A2011097,2011-04-07,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,7,5.65
A2011105,2011-04-15,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,124,5,4.03
A2011113,2011-04-23,MYD17A2H,Gpp_500m,0.0001,0.0003,0.0084,0.0002,0.0002,0.0000,0.0000,124,46,37.10
A2011121,2011-05-01,MYD17A2H,Gpp_500m,0.0003,0.0006,0.0228,0.0003,0.0003,0.0000,0.0001,124,70,56.45
A2011129,2011-05-09,MYD17A2H,Gpp_500m,0.0006,0.0015,0.0822,0.0009,0.0008,0.0000,0.0003,124,108,87.10
A2011137,2011-05-17,MYD17A2H,Gpp_500m,0.0171,0.0367,3.8479,0.0196,0.0310,0.0000,0.0031,124,124,100.00
A2011145,2011-05-25,MYD17A2H,Gpp_500m,0.0275,0.0562,5.7861,0.0287,0.0467,0.0000,0.0038,124,124,100.00
A2011153,2011-06-02,MYD17A2H,Gpp_500m,0.0190,0.0366,3.6630,0.0176,0.0295,0.0000,0.0031,124,124,100.00
A2011161,2011-06-10,MYD17A2H,Gpp_500m,0.0036,0.0351,2.2349,0.0315,0.0205,0.0001,0.0085,124,109,87.90
A2011169,2011-06-18,MYD17A2H,Gpp_500m,0.0171,0.0719,5.7444,0.0548,0.0463,0.0001,0.0106,124,124,100.00
