date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MYD17A2H,PsnNet_500m,-0.0004,0.0000,-0.0008,0.0004,-0.0000,0.0000,0.0001,169,33,19.53
A2010073,2010-03-14,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,45,26.63
A2010081,2010-03-22,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,61,36.09
A2010089,2010-03-30,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,78,46.15
A2010097,2010-04-07,MYD17A2H,PsnNet_500m,0.0001,0.0001,0.0024,0.0000,0.0001,0.0000,0.0000,169,24,14.20
A2010105,2010-04-15,MYD17A2H,PsnNet_500m,0.0007,0.0017,0.0604,0.0010,0.0008,0.0000,0.0003,169,77,45.56
A2010113,2010-04-23,MYD17A2H,PsnNet_500m,0.0018,0.0116,0.8393,0.0098,0.0050,0.0000,0.0020,169,169,100.00
A2010121,2010-05-01,MYD17A2H,PsnNet_500m,0.0024,0.0076,0.9097,0.0052,0.0054,0.0000,0.0010,169,169,100.00
A2010129,2010-05-09,MYD17A2H,PsnNet_500m,0.0020,0.0104,1.0879,0.0084,0.0064,0.0000,0.0023,169,169,100.00
A2010137,2010-05-17,MYD17A2H,PsnNet_500m,0.0068,0.0211,2.7477,0.0143,0.0163,0.0000,0.0023,169,169,100.00
A2010145,2010-05-25,MYD17A2H,PsnNet_500m,0.0253,0.0491,6.1318,0.0238,0.0363,0.0000,0.0035,169,169,100.00
A2010153,2010-06-02,MYD17A2H,PsnNet_500m,0.0272,0.0474,6.0615,0.0202,0.0359,0.0000,0.0037,169,169,100.00
A2010161,2010-06-10,MYD17A2H,PsnNet_500m,0.0296,0.0568,7.4099,0.0272,0.0438,0.0000,0.0047,169,169,100.00
A2010169,2010-06-18,MYD17A2H,PsnNet_500m,0.0039,0.0584,6.3116,0.0545,0.0378,0.0001,0.0100,169,167,98.82
A2010177,2010-06-26,MYD17A2H,PsnNet_500m,0.0076,0.0551,5.7033,0.0475,0.0346,0.0001,0.0105,169,165,97.63
A2010185,2010-07-04,MYD17A2H,PsnNet_500m,0.0052,0.0692,6.8652,0.0640,0.0473,0.0002,0.0123,169,145,85.80
A2010193,2010-07-12,MYD17A2H,PsnNet_500m,0.0035,0.0517,3.3377,0.0482,0.0245,0.0002,0.0133,169,136,80.47
A2010201,2010-07-20,MYD17A2H,PsnNet_500m,0.0063,0.0451,4.7725,0.0388,0.0287,0.0000,0.0068,169,166,98.22
A2010209,2010-07-28,MYD17A2H,PsnNet_500m,0.0241,0.0494,6.5875,0.0253,0.0390,0.0000,0.0055,169,169,100.00
A2010217,2010-08-05,MYD17A2H,PsnNet_500m,0.0031,0.0302,2.9586,0.0271,0.0183,0.0000,0.0058,169,162,95.86
A2010225,2010-08-13,MYD17A2H,PsnNet_500m,0.0187,0.0415,4.8937,0.0228,0.0290,0.0000,0.0038,169,169,100.00
A2010233,2010-08-21,MYD17A2H,PsnNet_500m,0.0021,0.0208,1.8707,0.0187,0.0118,0.0000,0.0049,169,158,93.49
A2010241,2010-08-29,MYD17A2H,PsnNet_500m,0.0060,0.0147,1.9266,0.0087,0.0114,0.0000,0.0016,169,169,100.00
A2010249,2010-09-06,MYD17A2H,PsnNet_500m,0.0040,0.0135,1.5295,0.0095,0.0091,0.0000,0.0019,169,169,100.00
A2010257,2010-09-14,MYD17A2H,PsnNet_500m,0.0027,0.0073,0.9103,0.0046,0.0054,0.0000,0.0007,169,169,100.00
A2010265,2010-09-22,MYD17A2H,PsnNet_500m,0.0001,0.0010,0.0363,0.0009,0.0002,0.0000,0.0001,169,155,91.72
A2010273,2010-09-30,MYD17A2H,PsnNet_500m,0.0003,0.0009,0.0595,0.0006,0.0005,0.0000,0.0003,169,117,69.23
A2010281,2010-10-08,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010289,2010-10-16,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010297,2010-10-24,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010305,2010-11-01,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010313,2010-11-09,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010321,2010-11-17,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010329,2010-11-25,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010337,2010-12-03,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010345,2010-12-11,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010353,2010-12-19,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010361,2010-12-27,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011001,2011-01-01,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011009,2011-01-09,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
