dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,NA
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,0.0013,4e-04
2010-04-23,0.008033,0.002434
2010-05-01,0.00685,0.001606
2010-05-09,0.0079,0.002217
2010-05-17,0.01815,0.001054
2010-05-25,0.041867,0.002736
2010-06-02,0.039483,0.002122
2010-06-10,0.051517,0.002884
2010-06-18,0.04795,0.012591
2010-06-26,0.0245,0.010966
2010-07-04,0.0623,0.006505
2010-07-12,0.024633,0.015372
2010-07-20,0.033367,0.002365
2010-07-28,0.050133,0.003072
2010-08-05,0.011667,0.004984
2010-08-13,0.036017,0.000902
2010-08-21,0.0167,0.002737
2010-08-29,0.0131,0.002816
2010-09-06,0.008467,0.001817
2010-09-14,0.006583,0.000688
2010-09-22,4e-04,0.000126
2010-09-30,0.001067,0.000103
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,2e-04,0
2011-05-01,3e-04,0
2011-05-09,0.001183,0.00016
2011-05-17,0.032417,0.00145
2011-05-25,0.0503,0.005506
2011-06-02,0.031267,0.00188
2011-06-10,0.0254,0.0109
2011-06-18,0.058883,0.011605
2011-06-26,0.047217,0.003454
2011-07-04,0.03935,0.007176
2011-07-12,0.0158,0
2011-07-20,0.046833,0.009442
2011-07-28,0.055183,0.002121
2011-08-05,0.01404,0.004752
2011-08-13,0.022517,0.004798
2011-08-21,0.029333,0.002111
2011-08-29,0.0182,0.001039
2011-09-06,0.013067,0.001108
2011-09-14,0.01185,0.001362
2011-09-22,3e-04,NA
2011-09-30,0.0023,0.001187
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,2e-04,0
2012-04-22,3e-04,0
2012-04-30,0.00018,0.00011
2012-05-08,0.002217,0.000722
2012-05-16,0.014067,0.006064
2012-05-24,0.02755,0.001636
2012-06-01,0.037283,0.001998
2012-06-09,0.049917,0.002782
2012-06-17,0.060117,0.00699
2012-06-25,0.0392,0.007527
2012-07-03,0.061983,0.009137
2012-07-11,0.042083,0.000898
2012-07-19,0.036433,0.001104
2012-07-27,0.048233,0.002158
2012-08-04,0.046867,0.004
2012-08-12,0.034783,0.008918
2012-08-20,0.0131,0.000283
2012-08-28,0.014067,0.003989
2012-09-05,0.00515,0.00206
2012-09-13,0.0068,0.001068
2012-09-21,0.009283,0.001103
2012-09-29,0.0011,0.000224
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,NA
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,0
2013-05-01,NA,NA
2013-05-09,6e-04,0
2013-05-17,0.003667,0.001299
2013-05-25,0.0294,0.002461
2013-06-02,0.020383,0.002063
2013-06-10,0.03885,0.001819
2013-06-18,0.052483,0.010496
2013-06-26,0.067517,0.002548
2013-07-04,0.047167,0.003376
2013-07-12,0.047283,0.007181
2013-07-20,0.04235,0.006358
2013-07-28,0.066767,0.003585
2013-08-05,0.058167,0.004092
2013-08-13,0.017333,0.008877
2013-08-21,0.014533,0.000742
2013-08-29,0.0145,0.000699
2013-09-06,0.012517,0.002231
2013-09-14,0.00105,3e-04
2013-09-22,0.000833,0.000207
2013-09-30,4e-04,0
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.00014,8.9e-05
2014-04-15,0.00035,8.4e-05
2014-04-23,0.00145,0.000251
2014-05-01,0.009367,0.004287
2014-05-09,0.020833,0.001019
2014-05-17,0.00632,0.002804
2014-05-25,0.023133,0.000561
2014-06-02,0.03815,0.001627
2014-06-10,0.037967,0.002305
2014-06-18,0.051767,0.00339
2014-06-26,0.060567,0.007349
2014-07-04,0.0387,0.002317
2014-07-12,0.0512,0.002653
2014-07-20,0.027917,0.004711
2014-07-28,0.034633,0.00664
2014-08-05,0.01795,0.008288
2014-08-13,0.0284,0.000395
2014-08-21,0.030183,0.003246
2014-08-29,0.010567,0.000999
2014-09-06,0.010483,0.000646
2014-09-14,0.009867,0.000776
2014-09-22,0.003667,0.000647
2014-09-30,8e-04,0.000361
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.00015,7.1e-05
2015-04-15,6e-04,NA
2015-04-23,0.00104,0.000313
2015-05-01,0.001283,0.000449
2015-05-09,0.01895,0.006472
2015-05-17,0.0474,0.003134
2015-05-25,0.03695,0.002086
2015-06-02,0.025967,0.0024
2015-06-10,0.0131,0.009472
2015-06-18,0.060683,0.003511
2015-06-26,0.03195,0.02037
2015-07-04,0.0594,0.003787
2015-07-12,0.045933,0.000997
2015-07-20,0.0344,0.002686
2015-07-28,0.032817,0.006688
2015-08-05,0.038217,0.002242
2015-08-13,0.027733,0.003803
2015-08-21,0.018433,0.001031
2015-08-29,0.00375,0.001195
2015-09-06,0.012417,0.00142
2015-09-14,0.00075,3e-04
2015-09-22,0.000533,0.000242
2015-09-30,0.000433,8.2e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00034,5.5e-05
2016-03-29,NA,NA
2016-04-06,0,NA
2016-04-14,0,0
2016-04-22,0.001617,0.000366
2016-04-30,0.004533,0.001477
2016-05-08,0.027917,0.002405
2016-05-16,0.01675,0.00131
2016-05-24,0.01965,0.001133
