dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,NA
2010-03-14,NA,NA
2010-03-22,0,NA
2010-03-30,0,0
2010-04-07,1e-04,NA
2010-04-15,0.000886,5.3e-05
2010-04-23,0.005844,0.002103
2010-05-01,0.00692,0.000653
2010-05-09,0.00704,0.002979
2010-05-17,0.01956,0.001087
2010-05-25,0.041232,0.002076
2010-06-02,0.042684,0.00486
2010-06-10,0.051172,0.00261
2010-06-18,0.035216,0.014811
2010-06-26,0.035868,0.011714
2010-07-04,0.044929,0.020313
2010-07-12,0.039676,0.012776
2010-07-20,0.036612,0.007109
2010-07-28,0.048576,0.003927
2010-08-05,0.018571,0.007156
2010-08-13,0.034,0.001884
2010-08-21,0.01624,0.004003
2010-08-29,0.013376,0.001802
2010-09-06,0.009772,0.00188
2010-09-14,0.006452,0.000822
2010-09-22,0.000356,0.000126
2010-09-30,0.000944,0.000307
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,0.000193,2.6e-05
2011-05-01,3e-04,0
2011-05-09,0.000887,3e-04
2011-05-17,0.033196,0.0017
2011-05-25,0.047804,0.004714
2011-06-02,0.031244,0.001842
2011-06-10,0.027479,0.009546
2011-06-18,0.050792,0.010651
2011-06-26,0.048408,0.003471
2011-07-04,0.037935,0.012444
2011-07-12,0.010367,0.006247
2011-07-20,0.04754,0.007805
2011-07-28,0.052064,0.005026
2011-08-05,0.017748,0.007591
2011-08-13,0.021952,0.004338
2011-08-21,0.028008,0.003329
2011-08-29,0.017872,0.001669
2011-09-06,0.013256,0.001311
2011-09-14,0.011324,0.001005
2011-09-22,0.000352,0.000153
2011-09-30,0.001548,0.000789
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,4e-04,NA
2012-04-22,3e-04,0
2012-04-30,0.00016,9.7e-05
2012-05-08,0.00176,0.000442
2012-05-16,0.018676,0.001914
2012-05-24,0.028988,0.00189
2012-06-01,0.036268,0.005939
2012-06-09,0.047756,0.005615
2012-06-17,0.063048,0.004857
2012-06-25,0.046017,0.01534
2012-07-03,0.05606,0.004358
2012-07-11,0.039577,0.004022
2012-07-19,0.036948,0.002933
2012-07-27,0.046708,0.002368
2012-08-04,0.045244,0.003327
2012-08-12,0.028416,0.007447
2012-08-20,0.018029,0.007654
2012-08-28,0.011412,0.00302
2012-09-05,0.003274,0.001854
2012-09-13,0.007232,0.00072
2012-09-21,0.009424,0.001121
2012-09-29,0.001084,0.000192
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,NA
2013-05-01,4.3e-05,5.3e-05
2013-05-09,6e-04,0
2013-05-17,0.004185,0.002247
2013-05-25,0.031148,0.003835
2013-06-02,0.023072,0.001072
2013-06-10,0.038176,0.001979
2013-06-18,0.049268,0.005509
2013-06-26,0.067488,0.003222
2013-07-04,0.043,0.005018
2013-07-12,0.054132,0.006178
2013-07-20,0.041784,0.007603
2013-07-28,0.064016,0.003553
2013-08-05,0.059456,0.00465
2013-08-13,0.027696,0.011701
2013-08-21,0.014424,0.000708
2013-08-29,0.014484,0.000645
2013-09-06,0.012976,0.000968
2013-09-14,0.00135,0.001122
2013-09-22,0.000736,0.000118
2013-09-30,0.000435,0.00015
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,0
2014-04-15,3e-04,0
2014-04-23,0.001108,0.000296
2014-05-01,0.011132,0.00313
2014-05-09,0.021312,0.001368
2014-05-17,0.008625,0.001838
2014-05-25,0.023028,0.002404
2014-06-02,0.039128,0.001642
2014-06-10,0.042532,0.003805
2014-06-18,0.05594,0.005099
2014-06-26,0.053996,0.010733
2014-07-04,0.041367,0.007022
2014-07-12,0.048544,0.008329
2014-07-20,0.030888,0.008512
2014-07-28,0.023268,0.008252
2014-08-05,0.014591,0.007582
2014-08-13,0.029856,0.001803
2014-08-21,0.029004,0.004943
2014-08-29,0.010336,0.000778
2014-09-06,0.010508,0.000528
2014-09-14,0.00982,0.00068
2014-09-22,0.003172,0.000403
2014-09-30,0.00069,0.000176
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,4e-05,8.9e-05
2015-03-30,0,0
2015-04-07,NA,NA
2015-04-15,6e-04,0
2015-04-23,9e-04,0.000346
2015-05-01,0.001239,0.000423
2015-05-09,0.019132,0.003254
2015-05-17,0.048156,0.003894
2015-05-25,0.036584,0.00199
2015-06-02,0.024348,0.003775
2015-06-10,0.017539,0.007953
2015-06-18,0.057408,0.005459
2015-06-26,0.038083,0.018164
2015-07-04,0.056368,0.004844
2015-07-12,0.043968,0.007075
2015-07-20,0.038236,0.00662
2015-07-28,0.029465,0.007859
2015-08-05,0.0369,0.001734
2015-08-13,0.023344,0.004067
2015-08-21,0.017692,0.002887
2015-08-29,0.003536,0.00128
2015-09-06,0.013132,0.001274
2015-09-14,0.000695,0.000201
2015-09-22,4e-04,0.000153
2015-09-30,0.000388,0.000109
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000175,0.000136
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.00128,0.000261
2016-04-30,0.003832,0.001309
2016-05-08,0.028124,0.00353
2016-05-16,0.016736,0.002657
2016-05-24,0.02054,0.002816
