dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,NA
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,NA,NA
2010-04-15,0.00122,0.000502
2010-04-23,0.007417,0.002199
2010-05-01,0.005983,0.001367
2010-05-09,0.007,0.002055
2010-05-17,0.016767,0.000989
2010-05-25,0.0379,0.002371
2010-06-02,0.036517,0.001985
2010-06-10,0.046917,0.002445
2010-06-18,0.043683,0.010948
2010-06-26,0.022483,0.00987
2010-07-04,0.05515,0.00502
2010-07-12,0.02235,0.013509
2010-07-20,0.02945,0.002032
2010-07-28,0.043283,0.002447
2010-08-05,0.010567,0.004344
2010-08-13,0.031583,0.000585
2010-08-21,0.015233,0.002313
2010-08-29,0.0117,0.002519
2010-09-06,0.007733,0.00148
2010-09-14,0.0056,0.000518
2010-09-22,0.00025,8.4e-05
2010-09-30,9e-04,0
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,2e-04,0
2011-05-01,3e-04,0
2011-05-09,0.000967,0.000151
2011-05-17,0.02995,0.001323
2011-05-25,0.045867,0.004896
2011-06-02,0.028733,0.001635
2011-06-10,0.02315,0.009694
2011-06-18,0.051683,0.009177
2011-06-26,0.0427,0.002973
2011-07-04,0.035717,0.006335
2011-07-12,0.01395,7.1e-05
2011-07-20,0.04065,0.007556
2011-07-28,0.048167,0.001573
2011-08-05,0.01238,0.003989
2011-08-13,0.020317,0.00406
2011-08-21,0.026383,0.001819
2011-08-29,0.016333,0.000876
2011-09-06,0.011733,0.000967
2011-09-14,0.010367,0.001078
2011-09-22,3e-04,NA
2011-09-30,0.0018,0.000807
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,2e-04,0
2012-04-22,3e-04,0
2012-04-30,0.00018,0.00011
2012-05-08,0.002083,0.000711
2012-05-16,0.012967,0.005457
2012-05-24,0.02535,0.001494
2012-06-01,0.033867,0.001517
2012-06-09,0.045133,0.002248
2012-06-17,0.05255,0.005634
2012-06-25,0.035083,0.006249
2012-07-03,0.054967,0.007461
2012-07-11,0.03775,0.000712
2012-07-19,0.0322,0.000965
2012-07-27,0.041117,0.001598
2012-08-04,0.041317,0.003207
2012-08-12,0.030633,0.007925
2012-08-20,0.01205,0.000354
2012-08-28,0.012417,0.003238
2012-09-05,0.004583,0.001776
2012-09-13,0.006,0.001026
2012-09-21,0.00805,0.001007
2012-09-29,0.00092,0.000179
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,NA
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,0
2013-05-01,NA,NA
2013-05-09,6e-04,0
2013-05-17,0.003383,0.001216
2013-05-25,0.0271,0.002184
2013-06-02,0.0189,0.001947
2013-06-10,0.035483,0.001609
2013-06-18,0.046833,0.008753
2013-06-26,0.058533,0.001967
2013-07-04,0.04165,0.002747
2013-07-12,0.04165,0.005927
2013-07-20,0.0374,0.005291
2013-07-28,0.057333,0.002627
2013-08-05,0.049467,0.003004
2013-08-13,0.015133,0.007138
2013-08-21,0.013033,0.000641
2013-08-29,0.012783,0.000643
2013-09-06,0.0109,0.001826
2013-09-14,0.000875,0.00015
2013-09-22,0.000583,0.000299
2013-09-30,2e-04,0
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.00012,4.5e-05
2014-04-15,0.000217,0.000147
2014-04-23,0.001367,0.00032
2014-05-01,0.0084,0.003882
2014-05-09,0.018983,0.00083
2014-05-17,0.00574,0.002446
2014-05-25,0.021133,0.000361
2014-06-02,0.034883,0.001324
2014-06-10,0.034367,0.002054
2014-06-18,0.046983,0.002899
2014-06-26,0.0537,0.00602
2014-07-04,0.034667,0.002097
2014-07-12,0.0464,0.00234
2014-07-20,0.02485,0.003746
2014-07-28,0.030033,0.005231
2014-08-05,0.015533,0.006749
2014-08-13,0.024417,0.000337
2014-08-21,0.0275,0.002804
2014-08-29,0.009433,0.000816
2014-09-06,0.009233,0.000568
2014-09-14,0.0084,0.000623
2014-09-22,0.002983,0.000471
2014-09-30,0.000667,0.000379
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.00015,7.1e-05
2015-04-15,6e-04,NA
2015-04-23,9e-04,0.000274
2015-05-01,0.001233,0.000446
2015-05-09,0.017433,0.005839
2015-05-17,0.0425,0.002664
2015-05-25,0.033617,0.001835
2015-06-02,0.023533,0.002098
2015-06-10,0.01188,0.008262
2015-06-18,0.053683,0.002781
2015-06-26,0.027975,0.017301
2015-07-04,0.052317,0.00298
2015-07-12,0.04025,0.000812
2015-07-20,0.0309,0.002269
2015-07-28,0.028583,0.005493
2015-08-05,0.033383,0.001724
2015-08-13,0.024417,0.003359
2015-08-21,0.016133,0.000689
2015-08-29,0.0035,0.00103
2015-09-06,0.010983,0.001087
2015-09-14,7e-04,2e-04
2015-09-22,0.000333,0.000103
2015-09-30,0.000333,5.2e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00026,8.9e-05
2016-03-29,NA,NA
2016-04-06,0,NA
2016-04-14,0,0
2016-04-22,0.001483,0.000397
2016-04-30,0.004233,0.001297
2016-05-08,0.025467,0.001941
2016-05-16,0.015067,0.001143
2016-05-24,0.01805,0.001007
