dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,NA
2010-03-14,NA,NA
2010-03-22,0,NA
2010-03-30,0,0
2010-04-07,1e-04,NA
2010-04-15,7e-04,0
2010-04-23,0.005464,0.001939
2010-05-01,0.006124,0.00051
2010-05-09,0.006284,0.002682
2010-05-17,0.017936,0.00096
2010-05-25,0.0374,0.001779
2010-06-02,0.03922,0.004291
2010-06-10,0.046656,0.002217
2010-06-18,0.032464,0.013358
2010-06-26,0.032436,0.010234
2010-07-04,0.040329,0.017884
2010-07-12,0.035705,0.011342
2010-07-20,0.031792,0.005625
2010-07-28,0.042272,0.003074
2010-08-05,0.016508,0.006325
2010-08-13,0.029792,0.001738
2010-08-21,0.014804,0.003535
2010-08-29,0.011892,0.001571
2010-09-06,0.00872,0.001653
2010-09-14,0.00552,0.000649
2010-09-22,0.000244,5.8e-05
2010-09-30,0.000789,0.00023
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,0.000193,2.6e-05
2011-05-01,3e-04,0
2011-05-09,0.000788,0.000304
2011-05-17,0.030592,0.001568
2011-05-25,0.043756,0.004207
2011-06-02,0.02858,0.001658
2011-06-10,0.025004,0.008461
2011-06-18,0.04524,0.009041
2011-06-26,0.043892,0.003024
2011-07-04,0.034365,0.010973
2011-07-12,0.009183,0.005548
2011-07-20,0.041588,0.006328
2011-07-28,0.045752,0.003977
2011-08-05,0.015457,0.006326
2011-08-13,0.019312,0.003314
2011-08-21,0.025232,0.00287
2011-08-29,0.015988,0.00141
2011-09-06,0.011952,0.001127
2011-09-14,0.00998,0.000843
2011-09-22,0.00032,8.2e-05
2011-09-30,0.001256,0.000603
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,0
2012-04-14,2e-04,NA
2012-04-22,3e-04,0
2012-04-30,0.00016,9.7e-05
2012-05-08,0.0016,0.000445
2012-05-16,0.017176,0.00175
2012-05-24,0.026612,0.001734
2012-06-01,0.032964,0.005237
2012-06-09,0.04336,0.004891
2012-06-17,0.054888,0.003741
2012-06-25,0.0403,0.012837
2012-07-03,0.050196,0.003595
2012-07-11,0.035555,0.00351
2012-07-19,0.03268,0.002497
2012-07-27,0.040056,0.001795
2012-08-04,0.040116,0.002729
2012-08-12,0.025372,0.006626
2012-08-20,0.016488,0.006803
2012-08-28,0.010232,0.002554
2012-09-05,0.002987,0.001623
2012-09-13,0.0064,0.00063
2012-09-21,0.008228,0.001007
2012-09-29,0.000958,0.000146
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,NA
2013-05-01,0,0
2013-05-09,6e-04,0
2013-05-17,0.003915,0.002074
2013-05-25,0.02874,0.003391
2013-06-02,0.021244,0.001032
2013-06-10,0.034924,0.001708
2013-06-18,0.044332,0.004806
2013-06-26,0.0586,0.002539
2013-07-04,0.038176,0.004153
2013-07-12,0.047216,0.004952
2013-07-20,0.037188,0.006379
2013-07-28,0.055384,0.002814
2013-08-05,0.050584,0.003371
2013-08-13,0.023413,0.009347
2013-08-21,0.012988,0.000637
2013-08-29,0.012844,0.000466
2013-09-06,0.011272,0.000787
2013-09-14,0.001144,0.000897
2013-09-22,0.000455,0.000179
2013-09-30,0.000253,0.000184
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,0
2014-04-15,0.000185,3.8e-05
2014-04-23,0.000972,0.00031
2014-05-01,0.010064,0.002745
2014-05-09,0.019468,0.001203
2014-05-17,0.007683,0.001602
2014-05-25,0.020984,0.002064
2014-06-02,0.035688,0.001387
2014-06-10,0.038412,0.003229
2014-06-18,0.0505,0.004195
2014-06-26,0.04828,0.009062
2014-07-04,0.037221,0.005982
2014-07-12,0.043872,0.007315
2014-07-20,0.027068,0.007203
2014-07-28,0.020744,0.007103
2014-08-05,0.01273,0.006261
2014-08-13,0.025864,0.001402
2014-08-21,0.026344,0.004225
2014-08-29,0.00922,0.000666
2014-09-06,0.009152,0.000416
2014-09-14,0.008324,0.00057
2014-09-22,0.002704,0.000296
2014-09-30,0.000514,0.000153
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,-0.00014,0.000313
2015-03-30,0,0
2015-04-07,NA,NA
2015-04-15,0.000586,3.8e-05
2015-04-23,0.000767,0.000289
2015-05-01,0.001183,0.000392
2015-05-09,0.017652,0.002983
2015-05-17,0.043276,0.003363
2015-05-25,0.033268,0.001816
2015-06-02,0.022128,0.003267
2015-06-10,0.016004,0.007017
2015-06-18,0.050908,0.004583
2015-06-26,0.033125,0.015368
2015-07-04,0.050028,0.003952
2015-07-12,0.03862,0.006039
2015-07-20,0.033892,0.005543
2015-07-28,0.025913,0.00653
2015-08-05,0.03228,0.001345
2015-08-13,0.021096,0.003779
2015-08-21,0.01548,0.002377
2015-08-29,0.003204,0.001175
2015-09-06,0.011584,0.001053
2015-09-14,0.000657,0.000121
2015-09-22,0.000276,7.2e-05
2015-09-30,0.000288,8.8e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00015,9e-05
2016-03-29,NA,NA
2016-04-06,0,0
2016-04-14,0,0
2016-04-22,0.001108,0.000258
2016-04-30,0.003512,0.0012
2016-05-08,0.025724,0.003055
2016-05-16,0.015076,0.002392
2016-05-24,0.018868,0.002464
