date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,30,17.75
A2010073,2010-03-14,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,34,20.12
A2010081,2010-03-22,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,41,24.26
A2010089,2010-03-30,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,78,46.15
A2010097,2010-04-07,MYD17A2H,Gpp_500m,0.0001,0.0003,0.0026,0.0002,0.0001,0.0000,0.0000,169,24,14.20
A2010105,2010-04-15,MYD17A2H,Gpp_500m,0.0007,0.0017,0.0528,0.0010,0.0009,0.0000,0.0002,169,60,35.50
A2010113,2010-04-23,MYD17A2H,Gpp_500m,0.0019,0.0114,0.8590,0.0095,0.0051,0.0000,0.0019,169,169,100.00
A2010121,2010-05-01,MYD17A2H,Gpp_500m,0.0026,0.0085,1.0403,0.0059,0.0062,0.0000,0.0012,169,169,100.00
A2010129,2010-05-09,MYD17A2H,Gpp_500m,0.0023,0.0122,1.2244,0.0099,0.0072,0.0000,0.0026,169,169,100.00
A2010137,2010-05-17,MYD17A2H,Gpp_500m,0.0126,0.0233,3.0283,0.0107,0.0179,0.0000,0.0020,169,169,100.00
A2010145,2010-05-25,MYD17A2H,Gpp_500m,0.0295,0.0475,6.6468,0.0180,0.0393,0.0000,0.0028,169,169,100.00
A2010153,2010-06-02,MYD17A2H,Gpp_500m,0.0278,0.0521,6.4859,0.0243,0.0384,0.0000,0.0041,169,169,100.00
A2010161,2010-06-10,MYD17A2H,Gpp_500m,0.0320,0.0573,7.9412,0.0253,0.0470,0.0000,0.0046,169,169,100.00
