MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010009,2010-01-09,MYD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010017,2010-01-17,MYD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010025,2010-01-25,MYD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010033,2010-02-02,MYD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010041,2010-02-10,MYD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010049,2010-02-18,MYD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010057,2010-02-26,MYD17A2H,Gpp_500m,,,,,,,,136,0,0.00
A2010065,2010-03-06,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136,27,19.85
A2010073,2010-03-14,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136,32,23.53
A2010081,2010-03-22,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136,35,25.74
A2010089,2010-03-30,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,136,63,46.32
A2010097,2010-04-07,MYD17A2H,Gpp_500m,0.0001,0.0003,0.0025,0.0002,0.0001,0.0000,0.0000,136,23,16.91
A2010105,2010-04-15,MYD17A2H,Gpp_500m,0.0007,0.0009,0.0330,0.0002,0.0008,0.0000,0.0001,136,40,29.41
A2010113,2010-04-23,MYD17A2H,Gpp_500m,0.0019,0.0114,0.6532,0.0095,0.0048,0.0000,0.0017,136,136,100.00
A2010121,2010-05-01,MYD17A2H,Gpp_500m,0.0026,0.0085,0.8153,0.0059,0.0060,0.0000,0.0012,136,136,100.00
