dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,NA,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,1e-04,0
2010-04-15,NA,NA
2010-04-23,0.004915,0.002155
2010-05-01,0.004385,0.000901
2010-05-09,0.007904,0.001187
2010-05-17,0.016645,0.002695
2010-05-25,0.03313,0.005081
2010-06-02,0.031401,0.003659
2010-06-10,0.036173,0.008192
2010-06-18,0.034917,0.006207
2010-06-26,0.032029,0.007867
2010-07-04,0.042367,0.010977
2010-07-12,0.023137,0.014163
2010-07-20,0.025333,0.006497
2010-07-28,0.033761,0.005565
2010-08-05,0.021221,0.006708
2010-08-13,0.028618,0.00369
2010-08-21,0.011394,0.004981
2010-08-29,0.0137,0.002044
2010-09-06,0.010585,0.001269
2010-09-14,0.005677,0.000885
2010-09-22,0.000351,0.000246
2010-09-30,0.00039,0.000198
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,0,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,2e-04,0
2011-05-09,NA,NA
2011-05-17,0.023733,0.004136
2011-05-25,0.035956,0.006844
2011-06-02,0.022136,0.002753
2011-06-10,0.009761,0.007864
2011-06-18,0.042742,0.007525
2011-06-26,0.038504,0.003681
2011-07-04,0.022315,0.01466
2011-07-12,0.0032,0
2011-07-20,0.038396,0.006557
2011-07-28,0.041897,0.006608
2011-08-05,0.022511,0.00359
2011-08-13,0.018999,0.002131
2011-08-21,0.023038,0.004557
2011-08-29,0.014617,0.001854
2011-09-06,0.012391,0.001728
2011-09-14,0.008824,0.001013
2011-09-22,0.000586,0.000481
2011-09-30,0.001401,0.000734
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,0,0
2012-05-08,0.0014,NA
2012-05-16,0.015904,0.002529
2012-05-24,0.018885,0.006554
2012-06-01,0.022234,0.00884
2012-06-09,0.030142,0.00533
2012-06-17,0.047314,0.007454
2012-06-25,0.036576,0.011803
2012-07-03,0.047807,0.006867
2012-07-11,0.019031,0.012367
2012-07-19,0.027801,0.012542
2012-07-27,0.038646,0.005398
2012-08-04,0.036094,0.005655
2012-08-12,0.02283,0.006259
2012-08-20,0.026096,0.004712
2012-08-28,0.003932,0.002354
2012-09-05,0.006185,0.001987
2012-09-13,0.00718,0.001189
2012-09-21,0.008608,0.001054
2012-09-29,0.000836,9e-05
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,0,0
2013-03-30,NA,NA
2013-04-07,0,0
2013-04-15,NA,NA
2013-04-23,0,NA
2013-05-01,0,0
2013-05-09,NA,NA
2013-05-17,0.002937,0.001039
2013-05-25,0.024458,0.003518
2013-06-02,0.020318,0.003964
2013-06-10,0.020763,0.009962
2013-06-18,0.035511,0.004967
2013-06-26,0.048063,0.007234
2013-07-04,0.035737,0.006902
2013-07-12,0.039538,0.005597
2013-07-20,0.030414,0.011172
2013-07-28,0.046344,0.006056
2013-08-05,0.045338,0.007671
2013-08-13,0.019933,0.003711
2013-08-21,0.014088,0.001296
2013-08-29,0.013103,0.001834
2013-09-06,0.010535,0.001155
2013-09-14,0.003581,0.001361
2013-09-22,0.00088,0.000305
2013-09-30,0.000188,0.000102
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,NA
2014-03-14,0,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,2e-04,0
2014-04-23,0.000414,3.8e-05
2014-05-01,0.00617,0.002512
2014-05-09,0.016815,0.002832
2014-05-17,0.005317,0.002713
2014-05-25,0.016038,0.005167
2014-06-02,0.031117,0.003982
2014-06-10,0.030343,0.004539
2014-06-18,0.045562,0.007094
2014-06-26,0.025537,0.013262
2014-07-04,0.045482,0.008411
2014-07-12,0.043254,0.00822
2014-07-20,0.016171,0.00837
2014-07-28,0.017209,0.006552
2014-08-05,0.02204,0.002845
2014-08-13,0.025843,0.003323
2014-08-21,0.019168,0.007515
2014-08-29,0.010005,0.001295
2014-09-06,0.009122,0.001098
2014-09-14,0.007008,0.000879
2014-09-22,0.002946,0.000396
2014-09-30,0.00056,0.000202
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,0,0
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.00831,0.005118
2015-05-17,0.03959,0.006309
2015-05-25,0.028674,0.00345
2015-06-02,0.016037,0.006166
2015-06-10,0.013601,0.009842
2015-06-18,0.045404,0.006802
2015-06-26,0.024726,0.014365
2015-07-04,0.043586,0.006106
2015-07-12,0.017616,0.010389
2015-07-20,0.02937,0.007546
2015-07-28,0.022362,0.005669
2015-08-05,0.029015,0.003481
2015-08-13,0.021965,0.002531
2015-08-21,0.01406,0.003737
2015-08-29,0.000994,2.4e-05
2015-09-06,0.007228,0.00091
2015-09-14,0.000664,6.1e-05
2015-09-22,0.000359,0.000228
2015-09-30,7.8e-05,0.000135
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,0,0
2016-03-21,NA,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,6e-04,0
2016-04-30,0.002649,0.001262
2016-05-08,0.02056,0.004003
2016-05-16,0.014621,0.002163
2016-05-24,0.016014,0.003142
2016-06-01,0.016964,0.002036
