dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,NA,NA
2010-03-14,0,NA
2010-03-22,NA,NA
2010-03-30,NA,NA
2010-04-07,NA,NA
2010-04-15,NA,NA
2010-04-23,0.0118,NA
2010-05-01,0.003,NA
2010-05-09,0.0073,NA
2010-05-17,0.0204,NA
2010-05-25,0.0378,NA
2010-06-02,0.0393,NA
2010-06-10,0.0319,NA
2010-06-18,0.0549,NA
2010-06-26,0.0497,NA
2010-07-04,0.053,NA
2010-07-12,0.0368,NA
2010-07-20,0.0429,NA
2010-07-28,0.046,NA
2010-08-05,0.0349,NA
2010-08-13,0.0423,NA
2010-08-21,0.0138,NA
2010-08-29,0.0191,NA
2010-09-06,0.0112,NA
2010-09-14,0.0052,NA
2010-09-22,4e-04,NA
2010-09-30,NA,NA
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,NA,NA
2011-03-14,NA,NA
2011-03-22,NA,NA
2011-03-30,NA,NA
2011-04-07,NA,NA
2011-04-15,NA,NA
2011-04-23,NA,NA
2011-05-01,NA,NA
2011-05-09,NA,NA
2011-05-17,0.0233,NA
2011-05-25,0.0325,NA
2011-06-02,0.0257,NA
2011-06-10,0.0309,NA
2011-06-18,0.053,NA
2011-06-26,0.0545,NA
2011-07-04,0.0481,NA
2011-07-12,0.0506,NA
2011-07-20,0.0505,NA
2011-07-28,0.0448,NA
2011-08-05,0.0331,NA
2011-08-13,0.0242,NA
2011-08-21,0.0281,NA
2011-08-29,0.0192,NA
2011-09-06,0.0111,NA
2011-09-14,0.0044,NA
2011-09-22,NA,NA
2011-09-30,NA,NA
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,NA,NA
2012-03-13,NA,NA
2012-03-21,NA,NA
2012-03-29,NA,NA
2012-04-06,NA,NA
2012-04-14,NA,NA
2012-04-22,NA,NA
2012-04-30,NA,NA
2012-05-08,NA,NA
2012-05-16,0.0152,NA
2012-05-24,0.0283,NA
2012-06-01,0.0288,NA
2012-06-09,0.0521,NA
2012-06-17,0.0551,NA
2012-06-25,0.0624,NA
2012-07-03,0.0474,NA
2012-07-11,0.042,NA
2012-07-19,0.0352,NA
2012-07-27,0.0439,NA
2012-08-04,0.042,NA
2012-08-12,0.036,NA
2012-08-20,0.0317,NA
2012-08-28,0.0111,NA
2012-09-05,0.008,NA
2012-09-13,0.0097,NA
2012-09-21,0.0066,NA
2012-09-29,NA,NA
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,NA,NA
2013-03-14,NA,NA
2013-03-22,NA,NA
2013-03-30,NA,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,NA,NA
2013-05-17,NA,NA
2013-05-25,0.0233,NA
2013-06-02,0.0213,NA
2013-06-10,0.0276,NA
2013-06-18,0.0598,NA
2013-06-26,0.046,NA
2013-07-04,0.0497,NA
2013-07-12,0.0422,NA
2013-07-20,0.0495,NA
2013-07-28,0.0396,NA
2013-08-05,0.0403,NA
2013-08-13,0.0089,NA
2013-08-21,0.0196,NA
2013-08-29,0.0135,NA
2013-09-06,0.0091,NA
2013-09-14,0.001,NA
2013-09-22,0.0026,NA
2013-09-30,NA,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,NA,NA
2014-03-14,NA,NA
2014-03-22,NA,NA
2014-03-30,NA,NA
2014-04-07,NA,NA
2014-04-15,NA,NA
2014-04-23,NA,NA
2014-05-01,0.0023,NA
2014-05-09,0.0145,NA
2014-05-17,0.0068,NA
2014-05-25,0.0198,NA
2014-06-02,0.0336,NA
2014-06-10,0.0396,NA
2014-06-18,0.0537,NA
2014-06-26,0.0571,NA
2014-07-04,0.0649,NA
2014-07-12,0.0528,NA
2014-07-20,0.0327,NA
2014-07-28,0.0281,NA
2014-08-05,0.0347,NA
2014-08-13,0.0299,NA
2014-08-21,0.0261,NA
2014-08-29,0.0126,NA
2014-09-06,0.0098,NA
2014-09-14,NA,NA
2014-09-22,0.0026,NA
2014-09-30,NA,NA
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,NA,NA
2015-03-14,NA,NA
2015-03-22,NA,NA
2015-03-30,NA,NA
2015-04-07,NA,NA
2015-04-15,NA,NA
2015-04-23,NA,NA
2015-05-01,NA,NA
2015-05-09,0.0154,NA
2015-05-17,0.0322,NA
2015-05-25,0.0274,NA
2015-06-02,0.021,NA
2015-06-10,0.0327,NA
2015-06-18,0.0538,NA
2015-06-26,0.0472,NA
2015-07-04,0.0433,NA
2015-07-12,NA,NA
2015-07-20,0.0139,NA
2015-07-28,0.0283,NA
2015-08-05,0.0238,NA
2015-08-13,0.0247,NA
2015-08-21,0.0197,NA
2015-08-29,NA,NA
2015-09-06,0.0074,NA
2015-09-14,0.0014,NA
2015-09-22,0.0017,NA
2015-09-30,NA,NA
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,NA,NA
2016-03-13,NA,NA
2016-03-21,0,NA
2016-03-29,NA,NA
2016-04-06,NA,NA
2016-04-14,NA,NA
2016-04-22,NA,NA
2016-04-30,0.0012,NA
2016-05-08,0.021,NA
2016-05-16,0.0128,NA
2016-05-24,0.0187,NA
2016-06-01,0.0161,NA
2016-06-09,0.0346,NA
2016-06-17,0.0432,NA
2016-06-25,0.0566,NA
2016-07-03,0.052,NA
2016-07-11,0.0453,NA
2016-07-19,0.0323,NA
2016-07-27,0.0365,NA
2016-08-04,0.031,NA
2016-08-12,0.028,NA
2016-08-20,0.0206,NA
2016-08-28,0.0112,NA
2016-09-05,0.007,NA
2016-09-13,0.0035,NA
2016-09-21,0.0043,NA
2016-09-29,NA,NA
2016-10-07,NA,NA
2016-10-15,NA,NA
2016-10-23,NA,NA
2016-10-31,NA,NA
