date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010073,2010-03-14,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,2,1.18
A2010081,2010-03-22,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010089,2010-03-30,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010097,2010-04-07,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010105,2010-04-15,MYD17A2H,Gpp_500m,0.0005,0.0005,0.0010,0.0000,0.0005,0.0000,0.0000,169,2,1.18
A2010113,2010-04-23,MYD17A2H,Gpp_500m,0.0000,0.0129,1.0816,0.0129,0.0064,0.0000,0.0015,169,168,99.41
A2010121,2010-05-01,MYD17A2H,Gpp_500m,0.0000,0.0039,0.3147,0.0039,0.0019,0.0000,0.0004,169,168,99.41
A2010129,2010-05-09,MYD17A2H,Gpp_500m,0.0000,0.0100,0.8067,0.0100,0.0048,0.0000,0.0013,169,168,99.41
A2010137,2010-05-17,MYD17A2H,Gpp_500m,0.0000,0.0250,2.2380,0.0250,0.0133,0.0000,0.0024,169,168,99.41
A2010145,2010-05-25,MYD17A2H,Gpp_500m,0.0000,0.0458,4.4281,0.0458,0.0264,0.0000,0.0047,169,168,99.41
A2010153,2010-06-02,MYD17A2H,Gpp_500m,0.0000,0.0443,4.8183,0.0443,0.0287,0.0000,0.0046,169,168,99.41
A2010161,2010-06-10,MYD17A2H,Gpp_500m,0.0000,0.0404,4.1283,0.0404,0.0246,0.0000,0.0048,169,168,99.41
A2010169,2010-06-18,MYD17A2H,Gpp_500m,0.0000,0.0612,6.7066,0.0612,0.0399,0.0000,0.0059,169,168,99.41
