date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010073,2010-03-14,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,2,1.18
A2010081,2010-03-22,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010089,2010-03-30,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010097,2010-04-07,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010105,2010-04-15,MYD17A2H,PsnNet_500m,0.0005,0.0005,0.0010,0.0000,0.0005,0.0000,0.0000,169,2,1.18
A2010113,2010-04-23,MYD17A2H,PsnNet_500m,0.0000,0.0120,0.9891,0.0120,0.0059,0.0000,0.0014,169,168,99.41
A2010121,2010-05-01,MYD17A2H,PsnNet_500m,0.0000,0.0030,0.2342,0.0030,0.0014,0.0000,0.0003,169,168,99.41
A2010129,2010-05-09,MYD17A2H,PsnNet_500m,0.0000,0.0087,0.6519,0.0087,0.0039,0.0000,0.0011,169,168,99.41
A2010137,2010-05-17,MYD17A2H,PsnNet_500m,0.0000,0.0229,1.9802,0.0229,0.0118,0.0000,0.0022,169,168,99.41
A2010145,2010-05-25,MYD17A2H,PsnNet_500m,0.0000,0.0417,3.8188,0.0417,0.0227,0.0000,0.0043,169,168,99.41
A2010153,2010-06-02,MYD17A2H,PsnNet_500m,0.0000,0.0405,4.2357,0.0405,0.0252,0.0000,0.0042,169,168,99.41
A2010161,2010-06-10,MYD17A2H,PsnNet_500m,0.0000,0.0353,3.3311,0.0353,0.0198,0.0000,0.0040,169,168,99.41
A2010169,2010-06-18,MYD17A2H,PsnNet_500m,0.0000,0.0563,5.9115,0.0563,0.0352,0.0000,0.0053,169,168,99.41
A2010177,2010-06-26,MYD17A2H,PsnNet_500m,0.0000,0.0497,4.6798,0.0497,0.0279,0.0000,0.0053,169,168,99.41
A2010185,2010-07-04,MYD17A2H,PsnNet_500m,0.0000,0.0549,5.1683,0.0549,0.0308,0.0000,0.0056,169,168,99.41
A2010193,2010-07-12,MYD17A2H,PsnNet_500m,0.0000,0.0378,2.3544,0.0378,0.0185,0.0001,0.0074,169,127,75.15
A2010201,2010-07-20,MYD17A2H,PsnNet_500m,0.0000,0.0437,3.1192,0.0437,0.0188,0.0000,0.0070,169,166,98.22
A2010209,2010-07-28,MYD17A2H,PsnNet_500m,0.0000,0.0465,3.8150,0.0465,0.0227,0.0000,0.0051,169,168,99.41
A2010217,2010-08-05,MYD17A2H,PsnNet_500m,0.0000,0.0395,3.3617,0.0395,0.0200,0.0000,0.0042,169,168,99.41
A2010225,2010-08-13,MYD17A2H,PsnNet_500m,0.0000,0.0423,4.6484,0.0423,0.0277,0.0000,0.0043,169,168,99.41
A2010233,2010-08-21,MYD17A2H,PsnNet_500m,0.0000,0.0151,1.7083,0.0151,0.0102,0.0000,0.0026,169,168,99.41
A2010241,2010-08-29,MYD17A2H,PsnNet_500m,0.0000,0.0191,1.9433,0.0191,0.0116,0.0000,0.0023,169,168,99.41
A2010249,2010-09-06,MYD17A2H,PsnNet_500m,0.0000,0.0114,1.1199,0.0114,0.0067,0.0000,0.0013,169,168,99.41
A2010257,2010-09-14,MYD17A2H,PsnNet_500m,0.0000,0.0052,0.4867,0.0052,0.0029,0.0000,0.0007,169,168,99.41
A2010265,2010-09-22,MYD17A2H,PsnNet_500m,0.0000,0.0004,0.0503,0.0004,0.0004,0.0000,0.0000,169,128,75.74
A2010273,2010-09-30,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010281,2010-10-08,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010289,2010-10-16,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010297,2010-10-24,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010305,2010-11-01,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010313,2010-11-09,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010321,2010-11-17,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010329,2010-11-25,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010337,2010-12-03,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010345,2010-12-11,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010353,2010-12-19,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2010361,2010-12-27,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011001,2011-01-01,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011009,2011-01-09,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011017,2011-01-17,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011025,2011-01-25,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011033,2011-02-02,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
A2011041,2011-02-10,MYD17A2H,PsnNet_500m,,,,,,,,169,0,0.00
