MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010009,2010-01-09,MYD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010017,2010-01-17,MYD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010025,2010-01-25,MYD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010033,2010-02-02,MYD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010041,2010-02-10,MYD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010049,2010-02-18,MYD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010057,2010-02-26,MYD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010065,2010-03-06,MYD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010073,2010-03-14,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,167,1,0.60
A2010081,2010-03-22,MYD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010089,2010-03-30,MYD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010097,2010-04-07,MYD17A2H,PsnNet_500m,,,,,,,,167,0,0.00
A2010105,2010-04-15,MYD17A2H,PsnNet_500m,0.0005,0.0005,0.0010,0.0000,0.0005,0.0000,0.0000,167,2,1.20
A2010113,2010-04-23,MYD17A2H,PsnNet_500m,0.0000,0.0120,0.9773,0.0120,0.0059,0.0000,0.0013,167,167,100.00
A2010121,2010-05-01,MYD17A2H,PsnNet_500m,0.0000,0.0026,0.2312,0.0026,0.0014,0.0000,0.0003,167,167,100.00
A2010129,2010-05-09,MYD17A2H,PsnNet_500m,0.0000,0.0087,0.6446,0.0087,0.0039,0.0000,0.0010,167,167,100.00
A2010137,2010-05-17,MYD17A2H,PsnNet_500m,0.0000,0.0229,1.9598,0.0229,0.0117,0.0000,0.0021,167,167,100.00
A2010145,2010-05-25,MYD17A2H,PsnNet_500m,0.0000,0.0417,3.7810,0.0417,0.0226,0.0000,0.0042,167,167,100.00
A2010153,2010-06-02,MYD17A2H,PsnNet_500m,0.0000,0.0405,4.1964,0.0405,0.0251,0.0000,0.0041,167,167,100.00
A2010161,2010-06-10,MYD17A2H,PsnNet_500m,0.0000,0.0353,3.2992,0.0353,0.0198,0.0000,0.0039,167,167,100.00
A2010169,2010-06-18,MYD17A2H,PsnNet_500m,0.0000,0.0563,5.8566,0.0563,0.0351,0.0000,0.0051,167,167,100.00
