Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,Sep 20,Jun 08,Jul 13,Aug 30,Jun 26,Jul 25,Aug 08
2002, Cycle 1,Sep 21,May 14,Jun 29,Aug 27,Jun 05,Jul 15,Aug 03
2003, Cycle 1,Sep 29,May 17,Jun 29,Aug 30,Jun 07,Jul 15,Aug 03
2004, Cycle 1,Sep 23,May 14,Jun 21,Aug 30,May 31,Jul 05,Jul 25
2005, Cycle 1,Sep 10,Apr 25,Jun 19,Aug 22,May 27,Jul 05,Jul 23
2006, Cycle 1,Oct 04,May 13,Jul 01,Sep 04,Jun 08,Jul 18,Aug 08
2007, Cycle 1,Oct 02,May 06,Jun 25,Sep 07,Jun 01,Jul 13,Aug 04
2008, Cycle 1,Sep 18,May 06,Jun 19,Aug 30,May 25,Jul 08,Jul 31
2009, Cycle 1,Sep 29,May 07,Jun 23,Sep 02,May 27,Jul 12,Aug 02
2010, Cycle 1,Sep 28,Apr 30,Jun 19,Sep 02,May 23,Jul 08,Jul 31
2011, Cycle 1,Oct 07,May 10,Jun 23,Sep 07,May 28,Jul 13,Aug 04
2012, Cycle 1,Sep 30,Apr 30,Jun 24,Sep 01,Jun 01,Jul 12,Aug 03
2013, Cycle 1,Oct 10,May 18,Jun 30,Sep 11,Jun 07,Jul 22,Aug 14
2014, Cycle 1,Oct 07,Apr 21,Jun 21,Sep 07,May 20,Jul 09,Jul 30
2015, Cycle 1,Sep 25,May 01,Jun 19,Sep 01,May 22,Jul 09,Jul 31
2016, Cycle 1,Oct 10,Apr 24,Jun 24,Sep 08,May 24,Jul 13,Aug 01
2017, Cycle 1,Sep 13,Apr 30,Jun 10,Aug 21,May 20,Jul 01,Jul 23
2018, Cycle 1,Sep 30,May 12,Jun 26,Sep 07,Jun 01,Jul 14,Aug 05
2019, Cycle 1,Sep 23,May 10,Jun 28,Sep 02,May 30,Jul 21,Aug 08
2007, Cycle 2,Sep 22,May 06,Jun 25,Sep 04,May 28,Jul 19,Aug 10
2010, Cycle 2,Sep 08,May 05,Jun 24,Aug 18,May 31,Jul 06,Jul 20
2016, Cycle 2,Oct 24,May 02,Jun 19,Oct 02,May 21,Jul 09,Jul 29
2019, Cycle 2,Sep 28,May 05,Jun 27,Sep 01,May 29,Jul 16,Aug 04
