dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,NA
2010-03-22,0,NA
2010-03-30,0,NA
2010-04-07,NA,NA
2010-04-15,9e-04,NA
2010-04-23,0.00415,0.000354
2010-05-01,0.0058,0.000283
2010-05-09,0.0042,0
2010-05-17,0.0185,0.00099
2010-05-25,0.04605,0.003041
2010-06-02,0.0375,0.001556
2010-06-10,0.0498,0.00198
2010-06-18,0.0367,0.003394
2010-06-26,0.0224,0.002828
2010-07-04,0.05515,0.000636
2010-07-12,0.0091,NA
2010-07-20,0.0216,0.016405
2010-07-28,0.0479,0.002263
2010-08-05,0.0236,0.001273
2010-08-13,0.033,0.002404
2010-08-21,0.00815,0.007849
2010-08-29,0.01055,0.000354
2010-09-06,0.00895,0.000636
2010-09-14,0.0058,0
2010-09-22,5e-04,0.000283
2010-09-30,3e-04,0
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,NA,NA
2011-04-07,0,NA
2011-04-15,NA,NA
2011-04-23,2e-04,NA
2011-05-01,NA,NA
2011-05-09,6e-04,NA
2011-05-17,0.0329,0.003253
2011-05-25,0.05015,0.002758
2011-06-02,0.0295,0.003111
2011-06-10,0.0272,0.002828
2011-06-18,0.0459,0.003111
2011-06-26,0.0465,0.00297
2011-07-04,0.0535,0.006647
2011-07-12,NA,NA
2011-07-20,0.028,0
2011-07-28,0.05535,0.001061
2011-08-05,0.01505,0.002758
2011-08-13,0.0195,0.001273
2011-08-21,0.0253,0.001556
2011-08-29,0.0164,0.000707
2011-09-06,0.01095,0.000495
2011-09-14,0.0103,0
2011-09-22,NA,NA
2011-09-30,0.0012,0.000141
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,NA
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,NA
2012-04-14,2e-04,NA
2012-04-22,3e-04,NA
2012-04-30,1e-04,0
2012-05-08,0.0016,NA
2012-05-16,0.01415,0.001344
2012-05-24,0.0274,0
2012-06-01,0.03565,0.003041
2012-06-09,0.0395,0.001131
2012-06-17,0.05295,0.001909
2012-06-25,0.0202,NA
2012-07-03,0.0513,0.004243
2012-07-11,0.0079,NA
2012-07-19,0.03,0.000424
2012-07-27,0.04155,0.004172
2012-08-04,0.02175,0.008556
2012-08-12,0.0274,0
2012-08-20,0.00995,0.002051
2012-08-28,0.01175,0.000778
2012-09-05,0.0026,0.000283
2012-09-13,0.00555,0.001485
2012-09-21,0.0079,0
2012-09-29,0.0013,0.00099
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,6e-04,NA
2013-05-17,0.0019,NA
2013-05-25,0.0316,0.00495
2013-06-02,0.0263,0.006081
2013-06-10,0.036,0.001273
2013-06-18,0.0423,0
2013-06-26,0.0637,0.003394
2013-07-04,0.04795,7.1e-05
2013-07-12,0.0535,0.005091
2013-07-20,0.0406,0.004384
2013-07-28,0.06055,0.002051
2013-08-05,0.06535,0.001768
2013-08-13,0.03235,0.002192
2013-08-21,0.01575,0.001061
2013-08-29,0.0156,0.000849
2013-09-06,0.0102,0.00099
2013-09-14,0.0016,0
2013-09-22,7e-04,0
2013-09-30,0.0013,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,NA
2014-04-15,3e-04,0
2014-04-23,0.001,0
2014-05-01,0.0072,0
2014-05-09,0.0181,0.000707
2014-05-17,0.0086,0.000283
2014-05-25,0.0096,0.002546
2014-06-02,0.0394,0.001414
2014-06-10,0.0282,0.011031
2014-06-18,0.05125,0.002333
2014-06-26,0.06035,0.005869
2014-07-04,0.0273,0.00594
2014-07-12,0.0539,0
2014-07-20,0.02705,0.006152
2014-07-28,0.03785,0.002333
2014-08-05,0.01315,0.004172
2014-08-13,0.0272,0.003677
2014-08-21,0.014,0.009475
2014-08-29,0.0106,0.000849
2014-09-06,0.01005,0.000778
2014-09-14,0.00875,0.000212
2014-09-22,0.0028,0
2014-09-30,6e-04,0.000141
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,NA
2015-04-07,NA,NA
2015-04-15,6e-04,NA
2015-04-23,NA,NA
2015-05-01,0.001,0
2015-05-09,0.01315,0.002051
2015-05-17,0.0512,0.001838
2015-05-25,0.03905,0.002475
2015-06-02,0.0237,0.002687
2015-06-10,0.02695,0.004455
2015-06-18,0.06085,0.001909
2015-06-26,0.046,0.004243
2015-07-04,0.05525,0.00601
2015-07-12,0.0462,0.002546
2015-07-20,0.0309,0.005091
2015-07-28,0.0177,0.003677
2015-08-05,0.0366,0.002546
2015-08-13,0.02615,7.1e-05
2015-08-21,0.0088,0.002828
2015-08-29,0.00295,0.000495
2015-09-06,0.009,0
2015-09-14,NA,NA
2015-09-22,2e-04,0
2015-09-30,4e-04,0
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,NA
2016-03-13,0,0
2016-03-21,3e-04,0
2016-03-29,0,NA
2016-04-06,0,NA
2016-04-14,NA,NA
2016-04-22,0.0012,0
2016-04-30,0.0032,0.000283
2016-05-08,0.02715,0.003182
2016-05-16,0.0185,0.00198
2016-05-24,0.0186,0.000566
2016-06-01,0.02515,0.000354
2016-06-09,0.04445,0.001768
2016-06-17,0.0384,0
2016-06-25,0.0417,0.001131
2016-07-03,0.0471,0.006788
2016-07-11,0.0392,NA
