dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000883,0.000263
2010-04-23,0.005403,0.002228
2010-05-01,0.005415,0.001881
2010-05-09,0.00524,0.002481
2010-05-17,0.017607,0.002125
2010-05-25,0.041635,0.003793
2010-06-02,0.040727,0.004407
2010-06-10,0.050857,0.004868
2010-06-18,0.04643,0.006351
2010-06-26,0.045495,0.011554
2010-07-04,0.052071,0.016402
2010-07-12,0.027837,0.013602
2010-07-20,0.031348,0.010226
2010-07-28,0.044302,0.005586
2010-08-05,0.025012,0.004391
2010-08-13,0.033862,0.003437
2010-08-21,0.014608,0.006329
2010-08-29,0.0131,0.002087
2010-09-06,0.009915,0.001945
2010-09-14,0.006285,0.0011
2010-09-22,0.000271,9.1e-05
2010-09-30,0.000431,0.00028
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,2.5e-05,4.4e-05
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000178,6.4e-05
2011-05-01,0.000467,0.00028
2011-05-09,0.000875,0.000385
2011-05-17,0.029418,0.0031
2011-05-25,0.050365,0.003615
2011-06-02,0.030117,0.005359
2011-06-10,0.023031,0.009153
2011-06-18,0.044575,0.008868
2011-06-26,0.049602,0.005613
2011-07-04,0.046595,0.017591
2011-07-12,0.007456,0.003279
2011-07-20,0.044025,0.008774
2011-07-28,0.051935,0.006518
2011-08-05,0.022829,0.006258
2011-08-13,0.020062,0.003188
2011-08-21,0.02533,0.003753
2011-08-29,0.017557,0.002269
2011-09-06,0.011982,0.00142
2011-09-14,0.010167,0.001401
2011-09-22,0.000355,5e-05
2011-09-30,0.001205,0.000518
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,0.000486,0.000196
2012-04-22,0.000422,0.000178
2012-04-30,0.000228,0.000103
2012-05-08,0.002258,0.000798
2012-05-16,0.015327,0.003051
2012-05-24,0.024881,0.005524
2012-06-01,0.029597,0.009555
2012-06-09,0.042285,0.007358
2012-06-17,0.054385,0.008881
2012-06-25,0.027627,0.01571
2012-07-03,0.056012,0.00511
2012-07-11,0.028183,0.013727
2012-07-19,0.0343,0.00658
2012-07-27,0.04581,0.006555
2012-08-04,0.040495,0.008019
2012-08-12,0.030387,0.005588
2012-08-20,0.017295,0.010418
2012-08-28,0.011225,0.00284
2012-09-05,0.004374,0.001831
2012-09-13,0.00596,0.001488
2012-09-21,0.009327,0.001347
2012-09-29,0.001012,0.00045
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,1e-05,4e-05
2013-05-01,3.3e-05,5.2e-05
2013-05-09,0.00065,0.000182
2013-05-17,0.00297,0.001021
2013-05-25,0.029033,0.002401
2013-06-02,0.024345,0.003191
2013-06-10,0.037423,0.002699
2013-06-18,0.045205,0.005708
2013-06-26,0.066975,0.005576
2013-07-04,0.046158,0.004552
2013-07-12,0.05444,0.007117
2013-07-20,0.04472,0.011664
2013-07-28,0.064243,0.00472
2013-08-05,0.059407,0.005547
2013-08-13,0.024638,0.011887
2013-08-21,0.01548,0.001692
2013-08-29,0.015057,0.001553
2013-09-06,0.011465,0.001485
2013-09-14,0.001498,0.001073
2013-09-22,0.000748,0.000115
2013-09-30,0.000849,0.000529
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000175,0.000101
2014-04-15,0.000363,9.4e-05
2014-04-23,0.001308,0.000462
2014-05-01,0.010218,0.003908
2014-05-09,0.018568,0.002069
2014-05-17,0.008541,0.002238
2014-05-25,0.022845,0.008273
2014-06-02,0.038172,0.00311
2014-06-10,0.032089,0.010099
2014-06-18,0.053938,0.003401
2014-06-26,0.050898,0.006554
2014-07-04,0.036177,0.008422
2014-07-12,0.045723,0.014397
2014-07-20,0.025925,0.007942
2014-07-28,0.023476,0.00929
2014-08-05,0.012325,0.0071
2014-08-13,0.02882,0.003706
2014-08-21,0.027717,0.004784
2014-08-29,0.01072,0.001372
2014-09-06,0.009653,0.001017
2014-09-14,0.008652,0.0013
2014-09-22,0.003067,0.000674
2014-09-30,0.000633,0.000191
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,4e-06,2e-05
2015-03-30,0,0
2015-04-07,0.000167,5.9e-05
2015-04-15,0.000783,0.000256
2015-04-23,0.000915,0.000243
2015-05-01,0.001503,0.000551
2015-05-09,0.014618,0.00446
2015-05-17,0.04626,0.004628
2015-05-25,0.040093,0.003962
2015-06-02,0.024749,0.005541
2015-06-10,0.031896,0.010692
2015-06-18,0.060767,0.007852
2015-06-26,0.043352,0.012311
2015-07-04,0.053798,0.004711
2015-07-12,0.037767,0.012317
2015-07-20,0.035031,0.008079
2015-07-28,0.024836,0.007833
2015-08-05,0.036888,0.002788
2015-08-13,0.026043,0.00533
2015-08-21,0.012533,0.003983
2015-08-29,0.00419,0.002212
2015-09-06,0.010952,0.002074
2015-09-14,0.000772,0.000244
2015-09-22,0.000383,0.000229
2015-09-30,0.000364,8e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.00031,0.000173
2016-03-29,0,0
2016-04-06,2.8e-05,4.5e-05
2016-04-14,3e-06,1.7e-05
2016-04-22,0.001493,0.000659
2016-04-30,0.005204,0.00357
