dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.001054,0.00035
2010-04-23,0.004511,0.002032
2010-05-01,0.00505,0.001793
2010-05-09,0.004699,0.002236
2010-05-17,0.017348,0.002149
2010-05-25,0.040257,0.004322
2010-06-02,0.039258,0.004866
2010-06-10,0.048372,0.004921
2010-06-18,0.042909,0.006689
2010-06-26,0.042652,0.013545
2010-07-04,0.047447,0.01658
2010-07-12,0.027044,0.012103
2010-07-20,0.033423,0.00945
2010-07-28,0.042313,0.005701
2010-08-05,0.022835,0.005853
2010-08-13,0.033005,0.003528
2010-08-21,0.015028,0.006305
2010-08-29,0.012484,0.001784
2010-09-06,0.010172,0.002275
2010-09-14,0.006282,0.001242
2010-09-22,0.000277,0.000132
2010-09-30,0.000463,0.000311
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,1.1e-05,3.2e-05
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000167,6e-05
2011-05-01,0.000373,0.000194
2011-05-09,0.000802,0.000429
2011-05-17,0.029974,0.003236
2011-05-25,0.049506,0.003682
2011-06-02,0.028059,0.004298
2011-06-10,0.023728,0.007608
2011-06-18,0.042253,0.008153
2011-06-26,0.04862,0.004609
2011-07-04,0.037141,0.018466
2011-07-12,0.008129,0.00329
2011-07-20,0.041564,0.008692
2011-07-28,0.051139,0.006376
2011-08-05,0.017941,0.007271
2011-08-13,0.018243,0.003099
2011-08-21,0.025341,0.004166
2011-08-29,0.016653,0.002689
2011-09-06,0.012245,0.001535
2011-09-14,0.010236,0.001262
2011-09-22,0.000338,4.9e-05
2011-09-30,0.001096,0.000453
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,1e-04,0
2012-04-14,0.000422,0.000238
2012-04-22,4e-04,0.000185
2012-04-30,0.000169,0.000108
2012-05-08,0.002096,0.000869
2012-05-16,0.015954,0.003775
2012-05-24,0.025029,0.005736
2012-06-01,0.026366,0.009739
2012-06-09,0.039039,0.007854
2012-06-17,0.056191,0.00564
2012-06-25,0.028655,0.012477
2012-07-03,0.051983,0.007639
2012-07-11,0.025944,0.012592
2012-07-19,0.030405,0.007677
2012-07-27,0.039993,0.008615
2012-08-04,0.038264,0.009243
2012-08-12,0.028101,0.005312
2012-08-20,0.016877,0.008923
2012-08-28,0.010397,0.002704
2012-09-05,0.003547,0.001763
2012-09-13,0.005485,0.001464
2012-09-21,0.008764,0.001629
2012-09-29,0.000949,0.000466
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,2e-05,4.5e-05
2013-05-09,0.000704,0.000278
2013-05-17,0.002636,0.001139
2013-05-25,0.028627,0.003919
2013-06-02,0.023379,0.004481
2013-06-10,0.035081,0.005765
2013-06-18,0.0454,0.007905
2013-06-26,0.063057,0.007601
2013-07-04,0.043058,0.005702
2013-07-12,0.051854,0.006753
2013-07-20,0.040395,0.011595
2013-07-28,0.061993,0.006731
2013-08-05,0.055924,0.006835
2013-08-13,0.022545,0.010888
2013-08-21,0.014575,0.002205
2013-08-29,0.014504,0.002128
2013-09-06,0.011028,0.002226
2013-09-14,0.0014,0.000777
2013-09-22,0.000731,0.000109
2013-09-30,0.000696,0.000478
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000144,9.6e-05
2014-04-15,0.000348,0.000118
2014-04-23,0.001143,0.000416
2014-05-01,0.009519,0.003934
2014-05-09,0.018948,0.001991
2014-05-17,0.008037,0.001958
2014-05-25,0.021471,0.007046
2014-06-02,0.035421,0.005041
2014-06-10,0.0302,0.00962
2014-06-18,0.051163,0.005088
2014-06-26,0.046993,0.007077
2014-07-04,0.038115,0.013144
2014-07-12,0.047958,0.01027
2014-07-20,0.023199,0.007837
2014-07-28,0.019553,0.008965
2014-08-05,0.01004,0.005704
2014-08-13,0.027365,0.004403
2014-08-21,0.026123,0.005341
2014-08-29,0.010217,0.001342
2014-09-06,0.009654,0.00117
2014-09-14,0.008756,0.001371
2014-09-22,0.002997,0.000829
2014-09-30,0.000633,0.000219
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,7e-06,2.6e-05
2015-03-30,0,0
2015-04-07,0.000233,0.000178
2015-04-15,0.000703,0.000205
2015-04-23,0.000875,0.000308
2015-05-01,0.001353,0.000588
2015-05-09,0.01323,0.004657
2015-05-17,0.044178,0.006056
2015-05-25,0.038868,0.004823
2015-06-02,0.024118,0.00639
2015-06-10,0.028796,0.00876
2015-06-18,0.056935,0.00912
2015-06-26,0.040989,0.011257
2015-07-04,0.052419,0.005623
2015-07-12,0.040859,0.009527
2015-07-20,0.033907,0.009196
2015-07-28,0.022779,0.00944
2015-08-05,0.035489,0.002784
2015-08-13,0.023097,0.006324
2015-08-21,0.012461,0.003999
2015-08-29,0.003508,0.001893
2015-09-06,0.011177,0.001975
2015-09-14,0.000753,0.000228
2015-09-22,0.000286,0.000179
2015-09-30,0.000373,0.000106
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000244,0.000193
2016-03-29,0,0
2016-04-06,1.6e-05,3.7e-05
2016-04-14,5e-06,2.3e-05
2016-04-22,0.001314,0.000777
2016-04-30,0.003784,0.002457
2016-05-08,0.024021,0.003372
