dates,evergreen_needleleaf_forest_mean,evergreen_needleleaf_forest_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,NA
2010-03-22,0,NA
2010-03-30,0,NA
2010-04-07,NA,NA
2010-04-15,7e-04,NA
2010-04-23,0.00395,0.000354
2010-05-01,0.00535,0.000212
2010-05-09,0.0039,0
2010-05-17,0.017,0.000849
2010-05-25,0.04165,0.002475
2010-06-02,0.03465,0.001485
2010-06-10,0.0454,0.001697
2010-06-18,0.0339,0.003394
2010-06-26,0.02085,0.002616
2010-07-04,0.04955,0.000495
2010-07-12,0.0083,NA
2010-07-20,0.01945,0.014354
2010-07-28,0.0418,0.001697
2010-08-05,0.0203,0.00099
2010-08-13,0.0287,0.002121
2010-08-21,0.00765,0.007425
2010-08-29,0.00955,0.000212
2010-09-06,0.00795,0.000495
2010-09-14,0.0049,0
2010-09-22,3e-04,0.000141
2010-09-30,3e-04,0
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,NA,NA
2011-04-07,0,NA
2011-04-15,NA,NA
2011-04-23,2e-04,NA
2011-05-01,NA,NA
2011-05-09,5e-04,NA
2011-05-17,0.0304,0.003111
2011-05-25,0.0458,0.002546
2011-06-02,0.02695,0.002899
2011-06-10,0.0249,0.002687
2011-06-18,0.04085,0.002758
2011-06-26,0.04195,0.002616
2011-07-04,0.0477,0.005657
2011-07-12,NA,NA
2011-07-20,0.0248,0
2011-07-28,0.04845,0.001202
2011-08-05,0.01335,0.002333
2011-08-13,0.0178,0.001131
2011-08-21,0.023,0.001273
2011-08-29,0.015,0.000707
2011-09-06,0.0099,0.000424
2011-09-14,0.009,0
2011-09-22,NA,NA
2011-09-30,0.001,0.000141
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,NA
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,0,NA
2012-04-14,2e-04,NA
2012-04-22,3e-04,NA
2012-04-30,1e-04,0
2012-05-08,0.0014,NA
2012-05-16,0.0133,0.001273
2012-05-24,0.02495,7.1e-05
2012-06-01,0.0325,0.002263
2012-06-09,0.0363,0.000849
2012-06-17,0.04655,0.001768
2012-06-25,0.0185,NA
2012-07-03,0.04605,0.003748
2012-07-11,0.0072,NA
2012-07-19,0.0269,0
2012-07-27,0.03595,0.003182
2012-08-04,0.01985,0.007849
2012-08-12,0.0252,0
2012-08-20,0.0092,0.001838
2012-08-28,0.0107,0.000707
2012-09-05,0.0023,0.000566
2012-09-13,0.00505,0.001202
2012-09-21,0.0069,0
2012-09-29,0.00095,0.000919
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,NA
2013-04-07,NA,NA
2013-04-15,NA,NA
2013-04-23,NA,NA
2013-05-01,NA,NA
2013-05-09,6e-04,NA
2013-05-17,0.0018,NA
2013-05-25,0.029,0.004384
2013-06-02,0.0242,0.005515
2013-06-10,0.03315,0.000919
2013-06-18,0.0381,0
2013-06-26,0.05545,0.002899
2013-07-04,0.0422,0
2013-07-12,0.0466,0.004243
2013-07-20,0.0364,0.003677
2013-07-28,0.05255,0.001626
2013-08-05,0.05485,0.001344
2013-08-13,0.02785,0.001909
2013-08-21,0.0141,0.000849
2013-08-29,0.01375,0.000636
2013-09-06,0.00895,0.000778
2013-09-14,0.00135,7.1e-05
2013-09-22,4e-04,0
2013-09-30,0.001,NA
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,1e-04,NA
2014-04-15,2e-04,0
2014-04-23,8e-04,0
2014-05-01,0.0066,0
2014-05-09,0.0166,0.000424
2014-05-17,0.00765,0.000212
2014-05-25,0.0091,0.002404
2014-06-02,0.03585,0.001344
2014-06-10,0.0258,0.010041
2014-06-18,0.0466,0.002121
2014-06-26,0.05375,0.004879
2014-07-04,0.02515,0.005445
2014-07-12,0.0487,0
2014-07-20,0.02415,0.00502
2014-07-28,0.03265,0.001768
2014-08-05,0.01175,0.003465
2014-08-13,0.0243,0.002263
2014-08-21,0.0129,0.008485
2014-08-29,0.0094,0.000566
2014-09-06,0.0086,0.000707
2014-09-14,0.00755,7.1e-05
2014-09-22,0.0024,0
2014-09-30,0.00045,7.1e-05
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,NA
2015-04-07,NA,NA
2015-04-15,6e-04,NA
2015-04-23,NA,NA
2015-05-01,0.001,0
2015-05-09,0.01205,0.001909
2015-05-17,0.04575,0.002051
2015-05-25,0.0354,0.002404
2015-06-02,0.0216,0.002263
2015-06-10,0.0246,0.00396
2015-06-18,0.0537,0.001838
2015-06-26,0.03975,0.003465
2015-07-04,0.0489,0.004667
2015-07-12,0.04015,0.001909
2015-07-20,0.02765,0.004172
2015-07-28,0.016,0.003394
2015-08-05,0.032,0.001697
2015-08-13,0.02375,0.000354
2015-08-21,0.008,0.002263
2015-08-29,0.00265,0.000778
2015-09-06,0.008,0
2015-09-14,NA,NA
2015-09-22,2e-04,0
2015-09-30,3e-04,0
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,NA
2016-03-13,0,0
2016-03-21,2e-04,0.000141
2016-03-29,0,NA
2016-04-06,0,NA
2016-04-14,NA,NA
2016-04-22,0.001,0
2016-04-30,0.003,0
2016-05-08,0.02465,0.002758
2016-05-16,0.0167,0.001697
2016-05-24,0.0171,0.000566
2016-06-01,0.0225,0.000283
2016-06-09,0.0409,0.001556
2016-06-17,0.03515,7.1e-05
2016-06-25,0.0371,0.000849
2016-07-03,0.03995,0.00502
2016-07-11,0.0356,NA
