dates,woody_savannas_mean,woody_savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000804,0.000254
2010-04-23,0.00501,0.002061
2010-05-01,0.004822,0.001642
2010-05-09,0.004747,0.00216
2010-05-17,0.016188,0.001935
2010-05-25,0.03766,0.003284
2010-06-02,0.03747,0.0039
2010-06-10,0.046372,0.004212
2010-06-18,0.042485,0.005553
2010-06-26,0.040568,0.009899
2010-07-04,0.046434,0.014144
2010-07-12,0.02537,0.012002
2010-07-20,0.02748,0.008522
2010-07-28,0.038808,0.004505
2010-08-05,0.02167,0.003677
2010-08-13,0.029773,0.00305
2010-08-21,0.013269,0.005608
2010-08-29,0.011678,0.001764
2010-09-06,0.008892,0.001685
2010-09-14,0.005335,0.00093
2010-09-22,2e-04,1.9e-05
2010-09-30,0.00039,0.000211
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,3e-06,1.8e-05
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000158,6.9e-05
2011-05-01,0.000424,0.000239
2011-05-09,0.000763,0.000364
2011-05-17,0.027222,0.002819
2011-05-25,0.045967,0.003127
2011-06-02,0.027598,0.004661
2011-06-10,0.02108,0.008215
2011-06-18,0.039819,0.007523
2011-06-26,0.044778,0.004722
2011-07-04,0.04161,0.01525
2011-07-12,0.006717,0.002951
2011-07-20,0.038638,0.007403
2011-07-28,0.04562,0.005313
2011-08-05,0.019657,0.004924
2011-08-13,0.018098,0.002762
2011-08-21,0.022893,0.003225
2011-08-29,0.015773,0.001975
2011-09-06,0.010817,0.001244
2011-09-14,0.008948,0.001187
2011-09-22,3e-04,0
2011-09-30,0.000968,0.000385
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,3.3e-05,4.8e-05
2012-04-14,0.000368,0.000217
2012-04-22,0.000383,0.000137
2012-04-30,2e-04,8.9e-05
2012-05-08,0.002094,0.000766
2012-05-16,0.014198,0.002789
2012-05-24,0.022853,0.005045
2012-06-01,0.027054,0.008481
2012-06-09,0.03862,0.006368
2012-06-17,0.04785,0.007435
2012-06-25,0.024768,0.013598
2012-07-03,0.050022,0.004253
2012-07-11,0.025548,0.012293
2012-07-19,0.030468,0.005575
2012-07-27,0.039238,0.005025
2012-08-04,0.036213,0.006845
2012-08-12,0.027423,0.004943
2012-08-20,0.015766,0.009372
2012-08-28,0.010063,0.002457
2012-09-05,0.003954,0.001626
2012-09-13,0.005282,0.001278
2012-09-21,0.008138,0.001195
2012-09-29,0.000798,0.000398
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,6e-06,2.5e-05
2013-05-01,0,0
2013-05-09,0.000638,0.000139
2013-05-17,0.002802,0.000963
2013-05-25,0.026728,0.002172
2013-06-02,0.022382,0.002869
2013-06-10,0.034208,0.002374
2013-06-18,0.040728,0.005004
2013-06-26,0.058272,0.004298
2013-07-04,0.04076,0.003718
2013-07-12,0.047508,0.005749
2013-07-20,0.039352,0.009345
2013-07-28,0.05558,0.003656
2013-08-05,0.050593,0.004081
2013-08-13,0.021023,0.009669
2013-08-21,0.013845,0.001418
2013-08-29,0.013348,0.001298
2013-09-06,0.010013,0.001213
2013-09-14,0.001288,0.000886
2013-09-22,0.000472,0.000183
2013-09-30,0.000661,0.000445
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000166,9.1e-05
2014-04-15,0.000253,0.000106
2014-04-23,0.001127,0.000478
2014-05-01,0.009317,0.003492
2014-05-09,0.016987,0.001856
2014-05-17,0.007626,0.001948
2014-05-25,0.020833,0.007395
2014-06-02,0.034845,0.002704
2014-06-10,0.02935,0.008969
2014-06-18,0.048807,0.002913
2014-06-26,0.045787,0.005597
2014-07-04,0.032745,0.007356
2014-07-12,0.041398,0.012729
2014-07-20,0.022976,0.006789
2014-07-28,0.020754,0.007812
2014-08-05,0.010879,0.006074
2014-08-13,0.02559,0.003274
2014-08-21,0.025278,0.004181
2014-08-29,0.009583,0.001147
2014-09-06,0.008452,0.00084
2014-09-14,0.007383,0.001036
2014-09-22,0.002518,0.000522
2014-09-30,0.000467,0.000146
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,0.000167,5.9e-05
2015-04-15,0.000713,0.000247
2015-04-23,0.000845,0.000289
2015-05-01,0.001406,0.000464
2015-05-09,0.01354,0.004058
2015-05-17,0.04159,0.003976
2015-05-25,0.036347,0.003458
2015-06-02,0.022475,0.004899
2015-06-10,0.028532,0.009134
2015-06-18,0.053483,0.006143
2015-06-26,0.037417,0.010383
2015-07-04,0.047853,0.003777
2015-07-12,0.03333,0.010374
2015-07-20,0.031157,0.006911
2015-07-28,0.022064,0.006665
2015-08-05,0.032128,0.002192
2015-08-13,0.023622,0.00468
2015-08-21,0.011215,0.003313
2015-08-29,0.003793,0.001975
2015-09-06,0.009778,0.001788
2015-09-14,0.000712,0.000174
2015-09-22,0.000237,8.9e-05
2015-09-30,0.000273,6.7e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000215,0.000122
2016-03-29,0,0
2016-04-06,6e-06,2.4e-05
2016-04-14,0,0
2016-04-22,0.001337,0.000618
2016-04-30,0.004762,0.003161
2016-05-08,0.022605,0.002185
