dates,savannas_mean,savannas_sd
2010-01-01,NA,NA
2010-01-09,NA,NA
2010-01-17,NA,NA
2010-01-25,NA,NA
2010-02-02,NA,NA
2010-02-10,NA,NA
2010-02-18,NA,NA
2010-02-26,NA,NA
2010-03-06,0,0
2010-03-14,0,0
2010-03-22,0,0
2010-03-30,0,0
2010-04-07,1e-04,0
2010-04-15,0.000931,0.000406
2010-04-23,0.004185,0.001853
2010-05-01,0.004517,0.001582
2010-05-09,0.004257,0.001959
2010-05-17,0.015981,0.001963
2010-05-25,0.036491,0.003748
2010-06-02,0.036157,0.00431
2010-06-10,0.044179,0.004269
2010-06-18,0.039402,0.005798
2010-06-26,0.038147,0.011684
2010-07-04,0.042574,0.014424
2010-07-12,0.024664,0.010756
2010-07-20,0.029262,0.007905
2010-07-28,0.037208,0.004675
2010-08-05,0.019878,0.004967
2010-08-13,0.029179,0.003263
2010-08-21,0.013618,0.005534
2010-08-29,0.011193,0.001535
2010-09-06,0.009116,0.00198
2010-09-14,0.00535,0.001017
2010-09-22,0.000216,5.4e-05
2010-09-30,0.000432,0.00025
2010-10-08,NA,NA
2010-10-16,NA,NA
2010-10-24,NA,NA
2010-11-01,NA,NA
2010-11-09,NA,NA
2010-11-17,NA,NA
2010-11-25,NA,NA
2010-12-03,NA,NA
2010-12-11,NA,NA
2010-12-19,NA,NA
2010-12-27,NA,NA
2011-01-01,NA,NA
2011-01-09,NA,NA
2011-01-17,NA,NA
2011-01-25,NA,NA
2011-02-02,NA,NA
2011-02-10,NA,NA
2011-02-18,NA,NA
2011-02-26,NA,NA
2011-03-06,0,0
2011-03-14,0,0
2011-03-22,0,0
2011-03-30,0,0
2011-04-07,0,0
2011-04-15,0,0
2011-04-23,0.000163,6.1e-05
2011-05-01,0.00035,0.000171
2011-05-09,0.000695,0.000403
2011-05-17,0.027737,0.002958
2011-05-25,0.045266,0.003243
2011-06-02,0.025779,0.003734
2011-06-10,0.021749,0.006849
2011-06-18,0.037895,0.006988
2011-06-26,0.044049,0.003874
2011-07-04,0.033442,0.016165
2011-07-12,0.007326,0.002961
2011-07-20,0.03657,0.007338
2011-07-28,0.044983,0.005247
2011-08-05,0.015687,0.006086
2011-08-13,0.016554,0.002744
2011-08-21,0.022915,0.003585
2011-08-29,0.01499,0.002372
2011-09-06,0.011051,0.001356
2011-09-14,0.009012,0.00112
2011-09-22,3e-04,0
2011-09-30,0.000857,0.000325
2011-10-08,NA,NA
2011-10-16,NA,NA
2011-10-24,NA,NA
2011-11-01,NA,NA
2011-11-09,NA,NA
2011-11-17,NA,NA
2011-11-25,NA,NA
2011-12-03,NA,NA
2011-12-11,NA,NA
2011-12-19,NA,NA
2011-12-27,NA,NA
2012-01-01,NA,NA
2012-01-09,NA,NA
2012-01-17,NA,NA
2012-01-25,NA,NA
2012-02-02,NA,NA
2012-02-10,NA,NA
2012-02-18,NA,NA
2012-02-26,NA,NA
2012-03-05,0,0
2012-03-13,0,0
2012-03-21,0,0
2012-03-29,0,0
2012-04-06,3.1e-05,4.7e-05
2012-04-14,0.000356,0.000253
2012-04-22,0.000364,0.000136
2012-04-30,0.000162,9.9e-05
2012-05-08,0.001912,0.000823
2012-05-16,0.014783,0.003424
2012-05-24,0.022967,0.00522
2012-06-01,0.02418,0.00869
2012-06-09,0.035821,0.006874
2012-06-17,0.04941,0.00457
2012-06-25,0.025716,0.010902
2012-07-03,0.04667,0.006613
2012-07-11,0.023577,0.01117
2012-07-19,0.027101,0.00659
2012-07-27,0.03461,0.006983
2012-08-04,0.034264,0.008019
2012-08-12,0.025564,0.004664
2012-08-20,0.015419,0.007924
2012-08-28,0.009354,0.002349
2012-09-05,0.003239,0.001562
2012-09-13,0.0049,0.001249
2012-09-21,0.007637,0.001382
2012-09-29,0.000727,0.000418
2012-10-07,NA,NA
2012-10-15,NA,NA
2012-10-23,NA,NA
2012-10-31,NA,NA
2012-11-08,NA,NA
2012-11-16,NA,NA
2012-11-24,NA,NA
2012-12-02,NA,NA
2012-12-10,NA,NA
2012-12-18,NA,NA
2012-12-26,NA,NA
2013-01-01,NA,NA
2013-01-09,NA,NA
2013-01-17,NA,NA
2013-01-25,NA,NA
2013-02-02,NA,NA
2013-02-10,NA,NA
2013-02-18,NA,NA
2013-02-26,NA,NA
2013-03-06,0,0
2013-03-14,0,0
2013-03-22,0,0
2013-03-30,0,0
2013-04-07,0,0
2013-04-15,0,0
2013-04-23,0,0
2013-05-01,2e-05,4.5e-05
2013-05-09,0.000688,0.000236
2013-05-17,0.002474,0.001067
2013-05-25,0.026385,0.003542
2013-06-02,0.021504,0.004079
2013-06-10,0.032143,0.005218
2013-06-18,0.040892,0.006855
2013-06-26,0.055136,0.006267
2013-07-04,0.038261,0.004845
2013-07-12,0.045522,0.00556
2013-07-20,0.03589,0.00968
2013-07-28,0.053725,0.005408
2013-08-05,0.048058,0.005367
2013-08-13,0.019382,0.008829
2013-08-21,0.013068,0.001827
2013-08-29,0.012876,0.00181
2013-09-06,0.009628,0.00183
2013-09-14,0.001211,0.000661
2013-09-22,0.000454,0.000165
2013-09-30,0.000531,0.000444
2013-10-08,NA,NA
2013-10-16,NA,NA
2013-10-24,NA,NA
2013-11-01,NA,NA
2013-11-09,NA,NA
2013-11-17,NA,NA
2013-11-25,NA,NA
2013-12-03,NA,NA
2013-12-11,NA,NA
2013-12-19,NA,NA
2013-12-27,NA,NA
2014-01-01,NA,NA
2014-01-09,NA,NA
2014-01-17,NA,NA
2014-01-25,NA,NA
2014-02-02,NA,NA
2014-02-10,NA,NA
2014-02-18,NA,NA
2014-02-26,NA,NA
2014-03-06,0,0
2014-03-14,0,0
2014-03-22,0,0
2014-03-30,0,0
2014-04-07,0.000137,8.3e-05
2014-04-15,0.000231,0.00013
2014-04-23,0.000964,0.000423
2014-05-01,0.008664,0.003485
2014-05-09,0.01735,0.001773
2014-05-17,0.007191,0.001723
2014-05-25,0.019644,0.00633
2014-06-02,0.032463,0.004496
2014-06-10,0.027598,0.008578
2014-06-18,0.046456,0.00443
2014-06-26,0.042468,0.006132
2014-07-04,0.034293,0.011383
2014-07-12,0.043458,0.009036
2014-07-20,0.020682,0.006781
2014-07-28,0.017398,0.007667
2014-08-05,0.008944,0.004948
2014-08-13,0.024198,0.003697
2014-08-21,0.023815,0.004488
2014-08-29,0.009112,0.001133
2014-09-06,0.008435,0.00098
2014-09-14,0.007468,0.001111
2014-09-22,0.002481,0.000633
2014-09-30,0.000476,0.000193
2014-10-08,NA,NA
2014-10-16,NA,NA
2014-10-24,NA,NA
2014-11-01,NA,NA
2014-11-09,NA,NA
2014-11-17,NA,NA
2014-11-25,NA,NA
2014-12-03,NA,NA
2014-12-11,NA,NA
2014-12-19,NA,NA
2014-12-27,NA,NA
2015-01-01,NA,NA
2015-01-09,NA,NA
2015-01-17,NA,NA
2015-01-25,NA,NA
2015-02-02,NA,NA
2015-02-10,NA,NA
2015-02-18,NA,NA
2015-02-26,NA,NA
2015-03-06,0,0
2015-03-14,0,0
2015-03-22,0,0
2015-03-30,0,0
2015-04-07,2e-04,0.000104
2015-04-15,0.000688,0.000216
2015-04-23,0.00081,0.000331
2015-05-01,0.001278,0.00052
2015-05-09,0.01224,0.004252
2015-05-17,0.039781,0.005253
2015-05-25,0.035307,0.004209
2015-06-02,0.021913,0.005661
2015-06-10,0.026001,0.007565
2015-06-18,0.050404,0.007557
2015-06-26,0.035584,0.009471
2015-07-04,0.046764,0.004608
2015-07-12,0.035946,0.008045
2015-07-20,0.030206,0.007901
2015-07-28,0.020289,0.00816
2015-08-05,0.031036,0.002267
2015-08-13,0.020892,0.005653
2015-08-21,0.011138,0.003384
2015-08-29,0.003181,0.001678
2015-09-06,0.009978,0.001676
2015-09-14,0.000703,0.000151
2015-09-22,0.000205,9.2e-05
2015-09-30,0.000269,8.1e-05
2015-10-08,NA,NA
2015-10-16,NA,NA
2015-10-24,NA,NA
2015-11-01,NA,NA
2015-11-09,NA,NA
2015-11-17,NA,NA
2015-11-25,NA,NA
2015-12-11,NA,NA
2016-01-01,NA,NA
2016-01-09,NA,NA
2016-01-17,NA,NA
2016-01-25,NA,NA
2016-02-02,NA,NA
2016-02-10,NA,NA
2016-02-18,NA,NA
2016-02-26,NA,NA
2016-03-05,0,0
2016-03-13,0,0
2016-03-21,0.000165,0.000132
2016-03-29,0,0
2016-04-06,6e-06,2.4e-05
2016-04-14,0,0
2016-04-22,0.001171,0.000693
2016-04-30,0.003493,0.00221
2016-05-08,0.021994,0.003031
2016-05-16,0.013804,0.00286
