date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010009,2010-01-09,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010017,2010-01-17,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010025,2010-01-25,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010033,2010-02-02,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010041,2010-02-10,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010049,2010-02-18,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010057,2010-02-26,MYD17A2H,Gpp_500m,,,,,,,,169,0,0.00
A2010065,2010-03-06,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,69,40.83
A2010073,2010-03-14,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,78,46.15
A2010081,2010-03-22,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,67,39.64
A2010089,2010-03-30,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169,94,55.62
A2010097,2010-04-07,MYD17A2H,Gpp_500m,0.0001,0.0001,0.0058,0.0000,0.0001,0.0000,0.0000,169,58,34.32
A2010105,2010-04-15,MYD17A2H,Gpp_500m,0.0007,0.0017,0.0495,0.0010,0.0010,0.0000,0.0003,169,51,30.18
A2010113,2010-04-23,MYD17A2H,Gpp_500m,0.0020,0.0122,0.8152,0.0102,0.0048,0.0000,0.0021,169,169,100.00
A2010121,2010-05-01,MYD17A2H,Gpp_500m,0.0020,0.0085,0.8768,0.0065,0.0052,0.0000,0.0018,169,169,100.00
A2010129,2010-05-09,MYD17A2H,Gpp_500m,0.0012,0.0119,0.8256,0.0107,0.0049,0.0000,0.0023,169,169,100.00
A2010137,2010-05-17,MYD17A2H,Gpp_500m,0.0126,0.0237,2.9496,0.0111,0.0175,0.0000,0.0021,169,169,100.00
A2010145,2010-05-25,MYD17A2H,Gpp_500m,0.0283,0.0516,6.8977,0.0233,0.0408,0.0000,0.0042,169,169,100.00
A2010153,2010-06-02,MYD17A2H,Gpp_500m,0.0300,0.0510,6.7192,0.0210,0.0398,0.0000,0.0047,169,169,100.00
A2010161,2010-06-10,MYD17A2H,Gpp_500m,0.0405,0.0632,8.3268,0.0227,0.0493,0.0000,0.0050,169,169,100.00
