MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,Gpp_500m,,,,,,,,107,0,0.00
A2010009,2010-01-09,MYD17A2H,Gpp_500m,,,,,,,,107,0,0.00
A2010017,2010-01-17,MYD17A2H,Gpp_500m,,,,,,,,107,0,0.00
A2010025,2010-01-25,MYD17A2H,Gpp_500m,,,,,,,,107,0,0.00
A2010033,2010-02-02,MYD17A2H,Gpp_500m,,,,,,,,107,0,0.00
A2010041,2010-02-10,MYD17A2H,Gpp_500m,,,,,,,,107,0,0.00
A2010049,2010-02-18,MYD17A2H,Gpp_500m,,,,,,,,107,0,0.00
A2010057,2010-02-26,MYD17A2H,Gpp_500m,,,,,,,,107,0,0.00
A2010065,2010-03-06,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107,42,39.25
A2010073,2010-03-14,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107,45,42.06
A2010081,2010-03-22,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107,35,32.71
A2010089,2010-03-30,MYD17A2H,Gpp_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107,58,54.21
A2010097,2010-04-07,MYD17A2H,Gpp_500m,0.0001,0.0001,0.0032,0.0000,0.0001,0.0000,0.0000,107,32,29.91
A2010105,2010-04-15,MYD17A2H,Gpp_500m,0.0007,0.0017,0.0274,0.0010,0.0011,0.0000,0.0003,107,26,24.30
A2010113,2010-04-23,MYD17A2H,Gpp_500m,0.0020,0.0122,0.4827,0.0102,0.0045,0.0000,0.0020,107,107,100.00
A2010121,2010-05-01,MYD17A2H,Gpp_500m,0.0020,0.0085,0.5403,0.0065,0.0050,0.0000,0.0018,107,107,100.00
A2010129,2010-05-09,MYD17A2H,Gpp_500m,0.0012,0.0119,0.5028,0.0107,0.0047,0.0000,0.0022,107,107,100.00
A2010137,2010-05-17,MYD17A2H,Gpp_500m,0.0126,0.0237,1.8562,0.0111,0.0173,0.0000,0.0021,107,107,100.00
