MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2010001,2010-01-01,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010009,2010-01-09,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010017,2010-01-17,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010025,2010-01-25,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010033,2010-02-02,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010041,2010-02-10,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010049,2010-02-18,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010057,2010-02-26,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010065,2010-03-06,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107,42,39.25
A2010073,2010-03-14,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107,45,42.06
A2010081,2010-03-22,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107,35,32.71
A2010089,2010-03-30,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107,58,54.21
A2010097,2010-04-07,MYD17A2H,PsnNet_500m,0.0001,0.0001,0.0032,0.0000,0.0001,0.0000,0.0000,107,32,29.91
A2010105,2010-04-15,MYD17A2H,PsnNet_500m,0.0007,0.0017,0.0242,0.0010,0.0009,0.0000,0.0004,107,26,24.30
A2010113,2010-04-23,MYD17A2H,PsnNet_500m,0.0018,0.0110,0.4478,0.0092,0.0042,0.0000,0.0018,107,107,100.00
A2010121,2010-05-01,MYD17A2H,PsnNet_500m,0.0019,0.0075,0.4833,0.0056,0.0045,0.0000,0.0016,107,107,100.00
A2010129,2010-05-09,MYD17A2H,PsnNet_500m,0.0010,0.0104,0.4555,0.0094,0.0043,0.0000,0.0019,107,107,100.00
A2010137,2010-05-17,MYD17A2H,PsnNet_500m,0.0113,0.0217,1.7100,0.0104,0.0160,0.0000,0.0020,107,107,100.00
A2010145,2010-05-25,MYD17A2H,PsnNet_500m,0.0258,0.0449,3.9045,0.0191,0.0365,0.0000,0.0037,107,107,100.00
A2010153,2010-06-02,MYD17A2H,PsnNet_500m,0.0276,0.0465,3.8688,0.0189,0.0362,0.0000,0.0043,107,107,100.00
A2010161,2010-06-10,MYD17A2H,PsnNet_500m,0.0371,0.0568,4.7271,0.0197,0.0442,0.0000,0.0042,107,107,100.00
A2010169,2010-06-18,MYD17A2H,PsnNet_500m,0.0197,0.0604,4.1766,0.0407,0.0394,0.0000,0.0058,107,106,99.07
A2010177,2010-06-26,MYD17A2H,PsnNet_500m,0.0037,0.0546,4.0817,0.0509,0.0381,0.0001,0.0116,107,107,100.00
A2010185,2010-07-04,MYD17A2H,PsnNet_500m,0.0052,0.0668,4.3425,0.0616,0.0426,0.0002,0.0144,107,102,95.33
A2010193,2010-07-12,MYD17A2H,PsnNet_500m,0.0071,0.0455,1.8498,0.0384,0.0247,0.0001,0.0107,107,75,70.09
A2010201,2010-07-20,MYD17A2H,PsnNet_500m,0.0035,0.0404,2.9847,0.0369,0.0293,0.0001,0.0079,107,102,95.33
A2010209,2010-07-28,MYD17A2H,PsnNet_500m,0.0280,0.0474,3.9813,0.0194,0.0372,0.0000,0.0047,107,107,100.00
A2010217,2010-08-05,MYD17A2H,PsnNet_500m,0.0060,0.0284,2.1269,0.0224,0.0199,0.0000,0.0049,107,107,100.00
A2010225,2010-08-13,MYD17A2H,PsnNet_500m,0.0242,0.0380,3.1222,0.0138,0.0292,0.0000,0.0032,107,107,100.00
A2010233,2010-08-21,MYD17A2H,PsnNet_500m,0.0024,0.0239,1.4027,0.0215,0.0136,0.0000,0.0055,107,103,96.26
A2010241,2010-08-29,MYD17A2H,PsnNet_500m,0.0085,0.0159,1.1976,0.0074,0.0112,0.0000,0.0015,107,107,100.00
A2010249,2010-09-06,MYD17A2H,PsnNet_500m,0.0021,0.0135,0.9754,0.0114,0.0091,0.0000,0.0020,107,107,100.00
A2010257,2010-09-14,MYD17A2H,PsnNet_500m,0.0033,0.0082,0.5724,0.0049,0.0053,0.0000,0.0010,107,107,100.00
A2010265,2010-09-22,MYD17A2H,PsnNet_500m,0.0001,0.0005,0.0220,0.0004,0.0002,0.0000,0.0001,107,102,95.33
A2010273,2010-09-30,MYD17A2H,PsnNet_500m,0.0003,0.0009,0.0315,0.0006,0.0004,0.0000,0.0002,107,73,68.22
A2010281,2010-10-08,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010289,2010-10-16,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010297,2010-10-24,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010305,2010-11-01,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010313,2010-11-09,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010321,2010-11-17,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010329,2010-11-25,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010337,2010-12-03,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010345,2010-12-11,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010353,2010-12-19,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2010361,2010-12-27,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2011001,2011-01-01,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2011009,2011-01-09,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2011017,2011-01-17,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2011025,2011-01-25,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2011033,2011-02-02,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2011041,2011-02-10,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2011049,2011-02-18,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2011057,2011-02-26,MYD17A2H,PsnNet_500m,,,,,,,,107,0,0.00
A2011065,2011-03-06,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107,75,70.09
A2011073,2011-03-14,MYD17A2H,PsnNet_500m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107,71,66.36
